time,distance0,distance1
0.001,318,325
0.002,318,325
0.003,318,325
0.004,318,325
0.005,318,325
0.006,318,325
0.007,318,325
0.008,318,325
0.009,318,325
0.01,318,325
0.011,318,325
0.012,318,325
0.013,318,325
0.014,318,325
0.015,318,325
0.016,318,325
0.017,318,325
0.018,318,325
0.019,318,325
0.02,318,325
0.021,318,325
0.022,318,325
0.023,318,325
0.024,318,325
0.025,318,325
0.026,318,325
0.027,318,325
0.028,318,325
0.029,318,325
0.03,318,325
0.031,318,325
0.032,318,325
0.033,318,325
0.034,318,325
0.035,318,325
0.036,318,325
0.037,318,325
0.038,318,325
0.039,318,325
0.04,318,325
0.041,318,325
0.042,318,325
0.043,318,325
0.044,318,325
0.045,318,325
0.046,318,325
0.047,318,325
0.048,318,325
0.049,318,325
0.05,318,325
0.051,318,325
0.052,318,325
0.053,318,325
0.054,318,325
0.055,318,325
0.056,318,325
0.057,318,325
0.058,318,325
0.059,318,326
0.06,318,326
0.061,318,326
0.062,318,326
0.063,318,326
0.064,318,326
0.065,318,326
0.066,318,326
0.067,318,326
0.068,318,326
0.069,318,326
0.07,318,326
0.071,318,326
0.072,318,326
0.073,318,326
0.074,318,326
0.075,318,326
0.076,318,326
0.077,318,326
0.078,318,326
0.079,318,326
0.08,318,326
0.081,318,326
0.082,318,326
0.083,318,326
0.084,318,326
0.085,318,326
0.086,318,326
0.087,318,326
0.088,318,326
0.089,318,326
0.09,318,326
0.091,318,326
0.092,318,326
0.093,318,326
0.094,318,326
0.095,318,326
0.096,318,326
0.097,318,326
0.098,318,326
0.099,318,326
0.1,318,326
0.101,318,326
0.102,318,326
0.103,318,326
0.104,318,326
0.105,318,326
0.106,318,326
0.107,318,326
0.108,318,326
0.109,318,326
0.11,318,326
0.111,318,326
0.112,318,326
0.113,318,326
0.114,318,326
0.115,318,326
0.116,318,326
0.117,318,326
0.118,318,327
0.119,318,327
0.12,318,327
0.121,318,327
0.122,318,327
0.123,318,327
0.124,318,327
0.125,318,327
0.126,318,327
0.127,318,327
0.128,318,327
0.129,318,327
0.13,318,327
0.131,318,327
0.132,318,327
0.133,318,327
0.134,318,327
0.135,318,327
0.136,318,327
0.137,318,327
0.138,318,327
0.139,318,327
0.14,318,327
0.141,318,327
0.142,318,327
0.143,318,327
0.144,318,327
