time,distance0,distance1
0.001,540,408
0.002,540,408
0.003,540,408
0.004,540,408
0.005,540,408
0.006,540,408
0.007,540,408
0.008,540,408
0.009,539,408
0.01,539,408
0.011,539,408
0.012,539,408
0.013,539,408
0.014,539,408
0.015,539,408
0.016,539,408
0.017,539,409
0.018,539,409
0.019,538,409
0.02,538,409
0.021,538,409
0.022,538,409
0.023,538,409
0.024,538,409
0.025,538,410
0.026,538,410
0.027,538,410
0.028,538,410
0.029,538,410
0.03,537,410
0.031,537,410
0.032,537,410
0.033,537,411
0.034,537,411
0.035,537,411
0.036,537,411
0.037,537,411
0.038,537,411
0.039,537,411
0.04,537,411
0.041,537,411
0.042,537,411
0.043,537,411
0.044,537,411
0.045,537,411
0.046,537,411
0.047,537,410
0.048,537,410
0.049,537,410
0.05,537,410
0.051,537,410
0.052,537,410
0.053,537,410
0.054,538,409
0.055,538,409
0.056,538,409
0.057,538,409
0.058,538,409
0.059,538,409
0.06,538,409
0.061,538,408
0.062,538,408
0.063,538,408
0.064,538,408
0.065,538,408
0.066,538,408
0.067,539,407
0.068,539,407
0.069,539,407
0.07,539,407
0.071,539,407
0.072,539,407
0.073,539,407
0.074,539,406
0.075,539,406
0.076,539,406
0.077,539,406
0.078,539,406
0.079,539,406
0.08,539,406
0.081,540,406
0.082,540,406
0.083,540,406
0.084,540,406
0.085,540,406
0.086,540,406
0.087,540,406
0.088,540,406
0.089,540,406
0.09,540,406
0.091,540,406
0.092,540,406
0.093,540,406
0.094,540,406
0.095,540,406
0.096,540,406
0.097,540,406
0.098,540,406
0.099,540,406
0.1,540,406
0.101,540,406
0.102,540,406
0.103,540,406
0.104,540,406
0.105,540,406
0.106,540,406
0.107,540,406
0.108,540,406
0.109,540,406
0.11,540,406
0.111,540,406
0.112,540,406
0.113,540,406
0.114,540,406
0.115,540,406
0.116,540,406
0.117,540,406
0.118,540,406
0.119,540,406
0.12,540,406
0.121,540,406
0.122,540,406
0.123,540,406
0.124,540,406
0.125,540,406
0.126,540,406
0.127,540,406
0.128,540,406
0.129,540,406
0.13,540,406
0.131,540,406
0.132,540,406
0.133,540,406
0.134,540,406
0.135,540,406
0.136,540,406
0.137,540,406
0.138,540,406
0.139,540,406
0.14,540,406
0.141,540,406
0.142,540,406
0.143,540,406
0.144,540,406
0.145,541,406
0.146,541,406
0.147,541,406
0.148,541,406
0.149,541,406
0.15,541,406
0.151,541,406
0.152,541,406
0.153,541,406
0.154,541,405
0.155,541,405
0.156,541,405
0.157,541,405
0.158,541,405
0.159,541,405
0.16,541,405
0.161,542,405
0.162,542,405
0.163,542,405
0.164,542,404
0.165,542,404
0.166,542,404
0.167,542,404
0.168,542,404
0.169,542,404
0.17,542,404
0.171,542,404
0.172,542,404
0.173,542,403
0.174,542,403
0.175,542,403
0.176,542,403
0.177,543,403
0.178,543,403
0.179,543,403
0.18,543,403
0.181,543,403
0.182,543,403
0.183,543,402
0.184,543,402
0.185,543,402
0.186,543,402
0.187,543,402
0.188,543,402
0.189,543,402
0.19,543,402
0.191,543,402
0.192,543,402
0.193,544,402
0.194,544,402
0.195,544,402
0.196,544,402
0.197,545,402
0.198,545,402
0.199,545,402
0.2,546,402
0.201,546,402
0.202,546,402
0.203,546,402
0.204,547,402
0.205,547,402
0.206,547,402
0.207,547,402
0.208,548,402
0.209,548,402
0.21,548,402
0.211,548,402
0.212,549,402
0.213,549,402
0.214,549,402
0.215,549,402
0.216,550,402
0.217,550,402
0.218,550,402
0.219,550,402
0.22,551,402
0.221,551,402
0.222,551,402
0.223,551,402
0.224,552,402
0.225,552,402
0.226,552,402
0.227,552,402
0.228,553,402
0.229,553,402
0.23,553,402
0.231,553,402
0.232,554,402
0.233,554,402
0.234,555,402
0.235,555,402
0.236,556,402
0.237,557,402
0.238,557,402
0.239,558,402
0.24,558,402
0.241,559,402
0.242,560,402
0.243,560,402
0.244,561,402
0.245,561,402
0.246,562,402
0.247,563,402
0.248,563,402
0.249,564,401
0.25,564,401
0.251,565,401
0.252,566,401
0.253,566,401
0.254,567,401
0.255,567,401
