time,distance0,distance1
0.001,506,1000
0.002,506,1000
0.003,506,1000
0.004,506,1000
0.005,506,1000
0.006,506,1000
0.007,506,1000
0.008,506,1000
0.009,506,1000
0.01,506,1000
0.011,506,1000
0.012,506,1000
0.013,506,1000
0.014,506,1000
0.015,506,1000
0.016,506,1000
0.017,506,1000
0.018,506,1000
0.019,506,1000
0.02,506,1000
0.021,506,1000
0.022,506,1000
0.023,506,1000
0.024,506,1000
0.025,506,1000
0.026,506,1000
0.027,506,1000
0.028,506,1000
0.029,506,1000
0.03,506,1000
0.031,506,1000
0.032,506,1000
0.033,506,1000
0.034,506,1000
0.035,506,1000
0.036,506,1000
0.037,506,1000
0.038,506,1000
0.039,506,1000
0.04,506,1000
0.041,506,1000
0.042,506,1000
0.043,506,1000
0.044,506,1000
0.045,506,1000
0.046,506,1000
0.047,506,1000
0.048,506,1000
0.049,506,1000
0.05,506,1000
0.051,506,1000
0.052,506,1000
0.053,506,1000
0.054,506,1000
0.055,506,1000
0.056,506,1000
0.057,506,1000
0.058,506,1000
0.059,506,1000
0.06,506,1000
0.061,506,1000
0.062,506,1000
0.063,506,1000
0.064,506,1000
0.065,506,1000
0.066,506,1000
0.067,506,1000
0.068,506,1000
0.069,506,1000
0.07,506,1000
0.071,506,1000
0.072,506,1000
0.073,506,1000
0.074,506,1000
0.075,506,1000
0.076,506,1000
0.077,506,1000
0.078,506,1000
0.079,506,1000
0.08,506,1000
0.081,506,1000
0.082,506,1000
0.083,506,1000
0.084,506,1000
0.085,506,1000
0.086,506,1000
0.087,506,1000
0.088,506,1000
0.089,506,1000
0.09,506,1000
0.091,506,1000
0.092,506,1000
0.093,506,1000
0.094,506,1000
0.095,506,1000
0.096,506,1000
0.097,506,1000
0.098,506,1000
0.099,506,1000
0.1,506,1000
0.101,506,1000
0.102,506,1000
0.103,506,1000
0.104,506,1000
0.105,506,1000
0.106,506,1000
0.107,506,1000
0.108,506,1000
0.109,506,1000
0.11,506,1000
0.111,506,1000
0.112,506,1000
0.113,506,1000
0.114,506,1000
0.115,506,1000
0.116,506,1000
0.117,506,1000
0.118,506,1000
0.119,506,1000
0.12,506,1000
0.121,506,1000
0.122,506,1000
0.123,506,1000
0.124,506,1000
0.125,506,1000
0.126,506,1000
0.127,506,1000
0.128,506,1000
0.129,506,1000
0.13,506,1000
0.131,506,1000
0.132,506,1000
0.133,506,1000
0.134,506,1000
0.135,506,1000
0.136,506,1000
0.137,506,1000
0.138,506,1000
0.139,506,1000
0.14,506,1000
0.141,506,1000
0.142,506,1000
0.143,506,1000
0.144,506,1000
0.145,506,1000
0.146,506,1000
0.147,506,1000
0.148,506,1000
0.149,506,1000
0.15,506,1000
0.151,506,1000
0.152,506,1000
0.153,506,1000
0.154,506,1000
0.155,506,1000
0.156,506,1000
0.157,506,1000
0.158,506,1000
0.159,506,1000
0.16,506,1000
0.161,506,1000
0.162,506,1000
0.163,506,1000
0.164,506,1000
0.165,506,1000
0.166,506,1000
0.167,506,1000
0.168,506,1000
0.169,506,1000
0.17,506,1000
0.171,506,1000
0.172,506,1000
0.173,506,1000
0.174,506,1000
0.175,506,1000
0.176,506,1000
0.177,506,1000
0.178,506,1000
0.179,506,1000
0.18,506,1000
0.181,506,1000
0.182,506,1000
0.183,506,1000
0.184,506,1000
0.185,506,1000
0.186,506,1000
0.187,506,1000
0.188,506,1000
0.189,506,1000
0.19,506,1000
0.191,506,1000
0.192,506,1000
0.193,506,1000
0.194,506,1000
0.195,506,1000
0.196,506,1000
0.197,506,1000
0.198,506,1000
0.199,506,1000
0.2,506,1000
0.201,506,1000
0.202,506,1000
0.203,506,1000
0.204,506,1000
0.205,506,1000
0.206,506,1000
0.207,506,1000
0.208,506,1000
0.209,506,1000
0.21,506,1000
0.211,506,1000
0.212,506,1000
0.213,506,1000
0.214,506,1000
0.215,506,1000
0.216,506,1000
