time,distance0,distance1
0.001,754,1000
0.002,754,1000
0.003,754,1000
0.004,754,1000
0.005,754,1000
0.006,754,1000
0.007,754,1000
0.008,754,1000
0.009,754,1000
0.01,754,1000
0.011,754,1000
0.012,754,1000
0.013,754,1000
0.014,754,1000
0.015,754,1000
0.016,754,1000
0.017,754,1000
0.018,754,1000
0.019,754,1000
0.02,754,1000
0.021,754,1000
0.022,754,1000
0.023,754,1000
0.024,754,1000
0.025,754,1000
0.026,754,1000
0.027,754,1000
0.028,754,1000
0.029,754,1000
0.03,754,1000
0.031,754,1000
0.032,754,1000
0.033,754,1000
0.034,754,1000
0.035,754,1000
0.036,754,1000
0.037,754,1000
0.038,754,1000
0.039,754,1000
0.04,754,1000
0.041,754,1000
0.042,754,1000
0.043,754,1000
0.044,754,1000
0.045,754,1000
0.046,754,1000
0.047,754,1000
0.048,754,1000
0.049,754,1000
0.05,754,1000
0.051,754,1000
0.052,754,1000
0.053,754,1000
0.054,754,1000
0.055,754,1000
0.056,754,1000
0.057,754,1000
0.058,754,1000
0.059,754,1000
0.06,754,1000
0.061,754,1000
0.062,754,1000
0.063,754,1000
0.064,754,1000
0.065,754,1000
0.066,754,1000
0.067,754,1000
0.068,754,1000
0.069,754,1000
0.07,754,1000
0.071,754,1000
0.072,754,1000
0.073,754,1000
0.074,754,1000
0.075,754,1000
0.076,754,1000
0.077,754,1000
0.078,754,1000
0.079,754,1000
0.08,754,1000
0.081,754,1000
0.082,754,1000
0.083,754,1000
0.084,754,1000
0.085,754,1000
0.086,754,1000
0.087,754,1000
0.088,754,1000
0.089,754,1000
0.09,754,1000
0.091,754,1000
0.092,754,1000
0.093,754,1000
0.094,754,1000
0.095,754,1000
0.096,754,1000
0.097,754,1000
0.098,754,1000
0.099,754,1000
0.1,754,1000
0.101,754,1000
0.102,754,1000
0.103,754,1000
0.104,754,1000
0.105,754,1000
0.106,754,1000
0.107,754,1000
0.108,754,1000
0.109,754,1000
0.11,754,1000
0.111,754,1000
0.112,754,1000
0.113,754,1000
0.114,754,1000
0.115,754,1000
0.116,754,1000
0.117,754,1000
0.118,754,1000
0.119,754,1000
0.12,754,1000
0.121,754,1000
0.122,754,1000
0.123,754,1000
0.124,754,1000
0.125,754,1000
0.126,754,1000
0.127,754,1000
0.128,754,1000
0.129,754,1000
0.13,754,1000
0.131,754,1000
0.132,754,1000
0.133,754,1000
0.134,754,1000
0.135,754,1000
0.136,754,1000
0.137,754,1000
0.138,754,1000
0.139,754,1000
0.14,754,1000
0.141,754,1000
0.142,754,1000
0.143,754,1000
0.144,754,1000
0.145,754,1000
0.146,754,1000
0.147,754,1000
0.148,754,1000
0.149,754,1000
0.15,754,1000
0.151,754,1000
0.152,754,1000
0.153,754,1000
0.154,754,1000
0.155,754,1000
0.156,754,1000
0.157,754,1000
0.158,754,1000
0.159,754,1000
0.16,754,1000
0.161,754,1000
0.162,754,1000
0.163,754,1000
0.164,754,1000
0.165,754,1000
0.166,754,1000
0.167,754,1000
0.168,754,1000
0.169,754,1000
0.17,754,1000
0.171,754,1000
0.172,754,1000
0.173,754,1000
0.174,754,1000
0.175,754,1000
0.176,754,1000
0.177,754,1000
0.178,754,1000
0.179,754,1000
0.18,754,1000
0.181,754,1000
0.182,754,1000
0.183,754,1000
0.184,754,1000
0.185,754,1000
0.186,754,1000
0.187,754,1000
0.188,754,1000
0.189,754,1000
0.19,754,1000
0.191,754,1000
0.192,754,1000
0.193,754,1000
0.194,754,1000
0.195,754,1000
0.196,754,1000
0.197,754,1000
0.198,754,1000
0.199,754,1000
0.2,754,1000
0.201,754,1000
0.202,754,1000
0.203,754,1000
0.204,754,1000
0.205,754,1000
0.206,754,1000
0.207,754,1000
0.208,754,1000
0.209,754,1000
0.21,754,1000
0.211,754,1000
0.212,754,1000
0.213,754,1000
0.214,754,1000
0.215,754,1000
0.216,754,1000
0.217,754,1000
0.218,754,1000
0.219,754,1000
0.22,754,1000
0.221,754,1000
0.222,754,1000
0.223,754,1000
0.224,754,1000
0.225,754,1000
0.226,754,1000
0.227,754,1000
0.228,754,1000
0.229,754,1000
0.23,754,1000
0.231,754,1000
0.232,754,1000
0.233,754,1000
0.234,754,1000
0.235,754,1000
0.236,754,1000
0.237,754,1000
0.238,754,1000
0.239,754,1000
0.24,754,1000
0.241,754,1000
0.242,754,1000
0.243,754,1000
0.244,754,1000
0.245,754,1000
0.246,754,1000
0.247,754,1000
0.248,754,1000
0.249,754,1000
0.25,754,1000
0.251,754,1000
0.252,754,1000
0.253,754,1000
0.254,754,1000
0.255,754,1000
0.256,754,1000
0.257,754,1000
0.258,754,1000
0.259,754,1000
0.26,754,1000
0.261,754,1000
0.262,754,1000
0.263,754,1000
0.264,754,1000
0.265,754,1000
0.266,754,1000
0.267,754,1000
0.268,754,1000
0.269,754,1000
0.27,754,1000
0.271,754,1000
0.272,754,1000
0.273,754,1000
0.274,754,1000
0.275,754,1000
0.276,754,1000
0.277,754,1000
0.278,754,1000
0.279,754,1000
0.28,754,1000
0.281,754,1000
0.282,754,1000
0.283,754,1000
0.284,754,1000
0.285,754,1000
0.286,754,1000
0.287,754,1000
0.288,754,1000
0.289,754,1000
0.29,754,1000
0.291,754,1000
0.292,754,1000
0.293,754,1000
0.294,754,1000
0.295,754,1000
0.296,754,1000
0.297,754,1000
0.298,754,1000
0.299,754,1000
0.3,754,1000
0.301,754,1000
0.302,754,1000
0.303,754,1000
0.304,754,1000
0.305,754,1000
0.306,754,1000
0.307,754,1000
0.308,754,1000
0.309,754,1000
0.31,754,1000
0.311,754,1000
0.312,754,1000
0.313,754,1000
0.314,754,1000
0.315,754,1000
0.316,754,1000
0.317,754,1000
0.318,754,1000
0.319,754,1000
0.32,754,1000
0.321,754,1000
0.322,754,1000
0.323,754,1000
0.324,754,1000
0.325,754,1000
0.326,754,1000
0.327,754,1000
0.328,754,1000
0.329,754,1000
0.33,754,1000
0.331,754,1000
0.332,754,1000
0.333,754,1000
0.334,754,1000
0.335,754,1000
0.336,754,1000
0.337,754,1000
0.338,754,1000
0.339,754,1000
0.34,754,1000
0.341,754,1000
0.342,754,1000
0.343,754,1000
0.344,754,1000
0.345,754,1000
0.346,754,1000
0.347,754,1000
0.348,754,1000
0.349,754,1000
0.35,754,1000
0.351,754,1000
0.352,754,1000
0.353,754,1000
0.354,754,1000
0.355,754,1000
0.356,754,1000
0.357,754,1000
0.358,754,1000
0.359,754,1000
0.36,754,1000
0.361,754,1000
0.362,754,1000
0.363,754,1000
0.364,754,1000
0.365,754,1000
0.366,754,1000
0.367,754,1000
0.368,754,1000
0.369,754,1000
0.37,754,1000
0.371,754,1000
0.372,754,1000
0.373,754,1000
0.374,754,1000
0.375,754,1000
0.376,754,1000
0.377,754,1000
0.378,754,1000
0.379,754,1000
0.38,754,1000
0.381,754,1000
0.382,754,1000
0.383,754,1000
0.384,754,1000
0.385,754,1000
0.386,754,1000
0.387,754,1000
0.388,754,1000
0.389,754,1000
0.39,754,1000
0.391,754,1000
0.392,754,1000
0.393,754,1000
0.394,754,1000
0.395,754,1000
0.396,754,1000
0.397,754,1000
0.398,754,1000
0.399,754,1000
0.4,754,1000
0.401,754,1000
0.402,754,1000
0.403,754,1000
0.404,754,1000
0.405,754,1000
0.406,754,1000
0.407,754,1000
0.408,754,1000
0.409,754,1000
0.41,754,1000
0.411,754,1000
0.412,754,1000
0.413,754,1000
0.414,754,1000
0.415,754,1000
0.416,754,1000
0.417,754,1000
0.418,754,1000
0.419,754,1000
0.42,754,1000
0.421,754,1000
0.422,754,1000
0.423,754,1000
0.424,754,1000
0.425,754,1000
0.426,754,1000
0.427,754,1000
0.428,754,1000
0.429,754,1000
0.43,754,1000
0.431,754,1000
0.432,754,1000
0.433,754,1000
0.434,754,1000
0.435,754,1000
0.436,754,1000
0.437,754,1000
0.438,754,1000
0.439,754,1000
0.44,754,1000
0.441,754,1000
0.442,754,1000
0.443,754,1000
0.444,754,1000
0.445,754,1000
0.446,754,1000
0.447,754,1000
0.448,754,1000
0.449,754,1000
0.45,754,1000
0.451,754,1000
0.452,754,1000
0.453,754,1000
0.454,754,1000
0.455,754,1000
0.456,754,1000
0.457,754,1000
0.458,754,1000
0.459,754,1000
0.46,754,1000
0.461,754,1000
0.462,754,1000
0.463,754,1000
0.464,754,1000
0.465,754,1000
0.466,754,1000
0.467,754,1000
0.468,754,1000
0.469,754,1000
0.47,754,1000
0.471,754,1000
0.472,754,1000
0.473,754,1000
0.474,754,1000
0.475,754,1000
0.476,754,1000
0.477,754,1000
0.478,754,1000
0.479,754,1000
0.48,754,1000
0.481,754,1000
0.482,754,1000
0.483,754,1000
0.484,754,1000
0.485,754,1000
0.486,754,1000
0.487,754,1000
0.488,754,1000
0.489,754,1000
0.49,754,1000
0.491,754,1000
0.492,754,1000
0.493,754,1000
0.494,754,1000
0.495,754,1000
0.496,754,1000
0.497,754,1000
0.498,754,1000
0.499,754,1000
0.5,754,1000
0.501,754,1000
0.502,754,1000
0.503,754,1000
0.504,754,1000
0.505,754,1000
0.506,754,1000
0.507,754,1000
0.508,754,1000
0.509,754,1000
0.51,754,1000
0.511,754,1000
0.512,754,1000
0.513,754,1000
0.514,754,1000
0.515,754,1000
0.516,754,1000
0.517,754,1000
0.518,754,1000
0.519,754,1000
0.52,754,1000
0.521,754,1000
0.522,754,1000
0.523,754,1000
0.524,754,1000
0.525,754,1000
0.526,754,1000
0.527,754,1000
0.528,754,1000
0.529,754,1000
0.53,754,1000
0.531,754,1000
0.532,754,1000
0.533,754,1000
0.534,754,1000
0.535,754,1000
0.536,754,1000
0.537,754,1000
0.538,754,1000
0.539,754,1000
0.54,754,1000
0.541,754,1000
0.542,754,1000
0.543,754,1000
0.544,754,1000
0.545,754,1000
0.546,754,1000
0.547,754,1000
0.548,754,1000
0.549,754,1000
0.55,754,1000
0.551,754,1000
0.552,754,1000
0.553,754,1000
0.554,754,1000
0.555,754,1000
0.556,754,1000
0.557,754,1000
0.558,754,1000
0.559,754,1000
0.56,754,1000
0.561,754,1000
0.562,754,1000
0.563,754,1000
0.564,754,1000
0.565,754,1000
0.566,754,1000
0.567,754,1000
0.568,754,1000
0.569,754,1000
0.57,754,1000
0.571,754,1000
0.572,754,1000
0.573,754,1000
0.574,754,1000
0.575,754,1000
0.576,754,1000
0.577,754,1000
0.578,754,1000
0.579,754,1000
0.58,754,1000
0.581,754,1000
0.582,754,1000
0.583,754,1000
0.584,754,1000
0.585,754,1000
0.586,754,1000
0.587,754,1000
0.588,754,1000
0.589,754,1000
0.59,754,1000
0.591,754,1000
0.592,754,1000
0.593,754,1000
0.594,754,1000
0.595,754,1000
0.596,754,1000
0.597,754,1000
0.598,754,1000
0.599,754,1000
0.6,754,1000
0.601,754,1000
0.602,754,1000
0.603,754,1000
0.604,754,1000
0.605,754,1000
0.606,754,1000
0.607,754,1000
0.608,754,1000
0.609,754,1000
0.61,754,1000
0.611,754,1000
0.612,754,1000
0.613,754,1000
0.614,754,1000
0.615,754,1000
0.616,754,1000
0.617,754,1000
0.618,754,1000
0.619,754,1000
0.62,754,1000
0.621,754,1000
0.622,754,1000
0.623,754,1000
0.624,754,1000
0.625,754,1000
0.626,754,1000
0.627,754,1000
0.628,754,1000
0.629,754,1000
0.63,754,1000
0.631,754,1000
0.632,754,1000
0.633,754,1000
0.634,754,1000
0.635,754,1000
0.636,754,1000
0.637,754,1000
0.638,754,1000
0.639,754,1000
0.64,754,1000
0.641,754,1000
0.642,754,1000
0.643,754,1000
0.644,754,1000
0.645,754,1000
0.646,754,1000
0.647,754,1000
0.648,754,1000
0.649,754,1000
0.65,754,1000
0.651,754,1000
0.652,754,1000
0.653,754,1000
0.654,754,1000
0.655,754,1000
0.656,754,1000
0.657,754,1000
0.658,754,1000
0.659,754,1000
0.66,754,1000
0.661,754,1000
0.662,754,1000
0.663,754,1000
0.664,754,1000
0.665,754,1000
0.666,754,1000
0.667,754,1000
0.668,754,1000
0.669,754,1000
0.67,754,1000
0.671,754,1000
0.672,754,1000
0.673,754,1000
0.674,754,1000
0.675,754,1000
0.676,754,1000
0.677,754,1000
0.678,754,1000
0.679,754,1000
0.68,754,1000
0.681,754,1000
0.682,754,1000
0.683,754,1000
0.684,754,1000
0.685,754,1000
0.686,754,1000
0.687,754,1000
