time,distance0,distance1
0.001,557,1000
0.002,557,1000
0.003,557,1000
0.004,557,1000
0.005,557,1000
0.006,557,1000
0.007,557,1000
0.008,557,1000
0.009,557,1000
0.01,557,1000
0.011,557,1000
0.012,557,1000
0.013,557,1000
0.014,557,1000
0.015,557,1000
0.016,557,1000
0.017,557,1000
0.018,557,1000
0.019,557,1000
0.02,557,1000
0.021,557,1000
0.022,557,1000
0.023,557,1000
0.024,557,1000
0.025,557,1000
0.026,557,1000
0.027,557,1000
0.028,557,1000
0.029,557,1000
0.03,557,1000
0.031,557,1000
0.032,557,1000
0.033,557,1000
0.034,557,1000
0.035,557,1000
0.036,557,1000
0.037,557,1000
0.038,557,1000
0.039,557,1000
0.04,557,1000
0.041,557,1000
0.042,557,1000
0.043,557,1000
0.044,557,1000
0.045,557,1000
0.046,557,1000
0.047,557,1000
0.048,557,1000
0.049,557,1000
0.05,557,1000
0.051,557,1000
0.052,557,1000
0.053,557,1000
0.054,557,1000
0.055,557,1000
0.056,557,1000
0.057,557,1000
0.058,557,1000
0.059,557,1000
0.06,557,1000
0.061,557,1000
0.062,557,1000
0.063,557,1000
0.064,557,1000
0.065,557,1000
0.066,557,1000
0.067,557,1000
0.068,557,1000
0.069,557,1000
0.07,557,1000
0.071,557,1000
0.072,557,1000
0.073,557,1000
0.074,557,1000
0.075,557,1000
0.076,557,1000
0.077,557,1000
0.078,557,1000
0.079,557,1000
0.08,557,1000
0.081,557,1000
0.082,557,1000
0.083,557,1000
0.084,557,1000
0.085,557,1000
0.086,557,1000
0.087,557,1000
0.088,557,1000
0.089,557,1000
0.09,557,1000
0.091,557,1000
0.092,557,1000
0.093,557,1000
0.094,557,1000
0.095,557,1000
0.096,557,1000
0.097,557,1000
0.098,557,1000
0.099,557,1000
0.1,557,1000
0.101,557,1000
0.102,557,1000
0.103,557,1000
0.104,557,1000
0.105,557,1000
0.106,557,1000
0.107,557,1000
0.108,557,1000
0.109,557,1000
0.11,557,1000
0.111,557,1000
0.112,557,1000
0.113,557,1000
0.114,557,1000
0.115,557,1000
0.116,557,1000
0.117,557,1000
0.118,557,1000
0.119,557,1000
0.12,557,1000
0.121,557,1000
0.122,557,1000
0.123,557,1000
0.124,557,1000
0.125,557,1000
0.126,557,1000
0.127,557,1000
0.128,557,1000
0.129,557,1000
0.13,557,1000
0.131,557,1000
0.132,557,1000
0.133,557,1000
0.134,557,1000
0.135,557,1000
0.136,557,1000
0.137,557,1000
0.138,557,1000
0.139,557,1000
0.14,557,1000
0.141,557,1000
0.142,557,1000
0.143,557,1000
0.144,557,1000
0.145,557,1000
0.146,557,1000
0.147,557,1000
0.148,557,1000
0.149,557,1000
0.15,557,1000
0.151,557,1000
0.152,557,1000
0.153,557,1000
0.154,557,1000
0.155,557,1000
0.156,557,1000
0.157,557,1000
0.158,557,1000
0.159,557,1000
0.16,557,1000
0.161,557,1000
0.162,557,1000
0.163,557,1000
0.164,557,1000
0.165,557,1000
0.166,557,1000
0.167,557,1000
0.168,557,1000
0.169,557,1000
0.17,557,1000
0.171,557,1000
0.172,557,1000
0.173,557,1000
0.174,557,1000
0.175,557,1000
0.176,557,1000
0.177,557,1000
0.178,557,1000
0.179,557,1000
0.18,557,1000
0.181,557,1000
0.182,557,1000
0.183,557,1000
0.184,557,1000
0.185,557,1000
0.186,557,1000
0.187,557,1000
0.188,557,1000
0.189,557,1000
0.19,557,1000
0.191,557,1000
0.192,557,1000
0.193,557,1000
0.194,557,1000
0.195,557,1000
0.196,557,1000
0.197,557,1000
0.198,557,1000
0.199,557,1000
0.2,557,1000
0.201,557,1000
0.202,557,1000
0.203,557,1000
0.204,557,1000
0.205,557,1000
0.206,557,1000
0.207,557,1000
0.208,557,1000
0.209,557,1000
0.21,557,1000
0.211,557,1000
0.212,557,1000
0.213,557,1000
0.214,557,1000
0.215,557,1000
0.216,557,1000
0.217,557,1000
0.218,557,1000
0.219,557,1000
0.22,557,1000
0.221,557,1000
0.222,557,1000
0.223,557,1000
0.224,557,1000
0.225,557,1000
0.226,557,1000
0.227,557,1000
0.228,557,1000
0.229,557,1000
0.23,557,1000
0.231,557,1000
0.232,557,1000
0.233,557,1000
0.234,557,1000
0.235,557,1000
0.236,557,1000
0.237,557,1000
0.238,557,1000
0.239,557,1000
0.24,557,1000
0.241,557,1000
0.242,557,1000
0.243,557,1000
0.244,557,1000
0.245,557,1000
0.246,557,1000
0.247,557,1000
0.248,557,1000
0.249,557,1000
0.25,557,1000
0.251,557,1000
0.252,557,1000
0.253,557,1000
0.254,557,1000
