time,distance0,distance1
0.001,229,1000
0.002,229,1000
0.003,229,1000
0.004,229,1000
0.005,229,1000
0.006,229,1000
0.007,229,1000
0.008,229,1000
0.009,229,1000
0.01,229,1000
0.011,229,1000
0.012,229,1000
0.013,229,1000
0.014,229,1000
0.015,229,1000
0.016,229,1000
0.017,229,1000
0.018,229,1000
0.019,229,1000
0.02,229,1000
0.021,229,1000
0.022,229,1000
0.023,229,1000
0.024,229,1000
0.025,229,1000
0.026,229,1000
0.027,229,1000
0.028,229,1000
0.029,229,1000
0.03,229,1000
0.031,229,1000
0.032,229,1000
0.033,229,1000
0.034,229,1000
0.035,229,1000
0.036,229,1000
0.037,229,1000
0.038,229,1000
0.039,229,1000
0.04,229,1000
0.041,229,1000
0.042,229,1000
0.043,229,1000
0.044,229,1000
0.045,229,1000
0.046,229,1000
0.047,229,1000
0.048,229,1000
0.049,229,1000
0.05,229,1000
0.051,229,1000
0.052,229,1000
0.053,229,1000
0.054,229,1000
0.055,229,1000
0.056,229,1000
0.057,229,1000
0.058,229,1000
0.059,229,1000
0.06,229,1000
0.061,229,1000
0.062,229,1000
0.063,229,1000
0.064,229,1000
0.065,229,1000
0.066,229,1000
0.067,229,1000
0.068,229,1000
0.069,229,1000
0.07,229,1000
0.071,229,1000
0.072,229,1000
0.073,229,1000
0.074,229,1000
0.075,229,1000
0.076,228,1000
0.077,228,1000
0.078,227,1000
0.079,227,1000
0.08,227,1000
0.081,226,1000
0.082,226,1000
0.083,225,1000
0.084,225,1000
0.085,224,1000
0.086,224,1000
0.087,223,1000
0.088,223,1000
0.089,223,1000
0.09,222,1000
0.091,222,1000
0.092,221,1000
0.093,221,1000
0.094,220,1000
0.095,220,1000
0.096,220,1000
0.097,223,1000
0.098,223,1000
0.099,223,1000
0.1,223,1000
0.101,223,1000
0.102,223,1000
0.103,222,1000
0.104,222,1000
0.105,222,1000
0.106,222,1000
0.107,222,1000
0.108,222,1000
0.109,221,1000
0.11,221,1000
0.111,221,1000
0.112,221,1000
0.113,221,1000
0.114,221,1000
0.115,221,1000
0.116,220,1000
0.117,220,1000
0.118,220,1000
0.119,220,1000
0.12,220,1000
0.121,220,1000
0.122,219,1000
0.123,219,1000
0.124,219,1000
0.125,219,1000
0.126,219,1000
0.127,219,1000
0.128,229,1000
0.129,229,1000
0.13,229,1000
0.131,229,1000
0.132,229,1000
0.133,229,1000
0.134,229,1000
0.135,229,1000
0.136,229,1000
0.137,229,1000
0.138,229,1000
0.139,229,1000
0.14,229,1000
0.141,229,1000
0.142,229,1000
0.143,229,1000
0.144,229,1000
0.145,229,1000
0.146,229,1000
0.147,229,1000
0.148,228,1000
0.149,228,1000
0.15,228,1000
0.151,228,1000
0.152,228,1000
0.153,228,1000
0.154,228,1000
0.155,228,1000
0.156,228,1000
0.157,228,1000
0.158,228,1000
0.159,228,1000
0.16,228,1000
0.161,228,1000
0.162,228,1000
0.163,228,1000
0.164,228,1000
0.165,228,1000
0.166,228,1000
0.167,228,1000
0.168,227,1000
0.169,227,1000
0.17,227,1000
0.171,227,1000
0.172,227,1000
0.173,227,1000
0.174,227,1000
0.175,227,1000
0.176,227,1000
0.177,227,1000
0.178,227,1000
0.179,227,1000
0.18,227,1000
0.181,227,1000
0.182,227,1000
0.183,227,1000
0.184,227,1000
0.185,227,1000
0.186,227,1000
0.187,227,1000
0.188,226,1000
0.189,226,1000
0.19,226,1000
0.191,226,1000
0.192,226,1000
0.193,226,1000
0.194,226,1000
0.195,226,1000
0.196,226,1000
0.197,226,1000
0.198,226,1000
0.199,226,1000
0.2,226,1000
0.201,226,1000
0.202,226,1000
0.203,226,1000
0.204,226,1000
0.205,226,1000
0.206,226,1000
0.207,226,1000
0.208,225,1000
0.209,225,1000
0.21,225,1000
0.211,225,1000
0.212,225,1000
0.213,225,1000
0.214,225,1000
0.215,225,1000
0.216,225,1000
0.217,225,1000
0.218,225,1000
0.219,225,1000
0.22,225,1000
0.221,225,1000
0.222,225,1000
0.223,225,1000
0.224,225,1000
0.225,225,1000
0.226,225,1000
0.227,225,1000
0.228,224,1000
0.229,224,1000
0.23,224,1000
0.231,223,1000
0.232,223,1000
0.233,223,1000
0.234,222,1000
0.235,222,1000
0.236,229,1000
0.237,229,1000
0.238,229,1000
0.239,229,1000
0.24,228,1000
0.241,228,1000
0.242,228,1000
0.243,228,1000
0.244,227,1000
0.245,227,1000
0.246,227,1000
0.247,227,1000
0.248,226,1000
0.249,226,1000
0.25,226,1000
0.251,226,1000
0.252,225,1000
0.253,225,1000
0.254,225,1000
0.255,225,1000
0.256,224,1000
0.257,224,1000
0.258,224,1000
0.259,224,1000
0.26,223,1000
0.261,223,1000
0.262,223,1000
0.263,223,1000
0.264,222,1000
0.265,222,1000
0.266,222,1000
0.267,222,1000
0.268,221,1000
0.269,221,1000
0.27,221,1000
0.271,221,1000
0.272,220,1000
0.273,220,1000
0.274,220,1000
0.275,220,1000
0.276,227,1000
0.277,227,1000
0.278,227,1000
0.279,227,1000
0.28,227,1000
0.281,227,1000
0.282,227,1000
0.283,227,1000
0.284,227,1000
0.285,227,1000
0.286,227,1000
0.287,227,1000
0.288,227,1000
0.289,227,1000
0.29,227,1000
0.291,227,1000
0.292,227,1000
0.293,227,1000
0.294,227,1000
0.295,227,1000
0.296,227,1000
0.297,227,1000
0.298,227,1000
0.299,227,1000
0.3,227,1000
0.301,227,1000
0.302,227,1000
0.303,227,1000
0.304,227,1000
0.305,227,1000
0.306,227,1000
0.307,227,1000
0.308,227,1000
0.309,227,1000
0.31,227,1000
0.311,227,1000
0.312,227,1000
0.313,227,1000
0.314,227,1000
0.315,227,1000
0.316,227,1000
0.317,227,1000
0.318,226,1000
0.319,226,1000
0.32,226,1000
0.321,226,1000
0.322,226,1000
0.323,226,1000
0.324,226,1000
0.325,226,1000
0.326,226,1000
0.327,226,1000
0.328,226,1000
0.329,226,1000
0.33,226,1000
0.331,226,1000
0.332,226,1000
0.333,226,1000
0.334,226,1000
0.335,226,1000
0.336,226,1000
0.337,226,1000
0.338,226,1000
0.339,226,1000
0.34,226,1000
0.341,226,1000
0.342,226,1000
0.343,226,1000
0.344,226,1000
0.345,226,1000
0.346,226,1000
0.347,226,1000
0.348,226,1000
0.349,226,1000
0.35,226,1000
0.351,226,1000
0.352,226,1000
0.353,226,1000
0.354,226,1000
0.355,226,1000
0.356,226,1000
0.357,226,1000
0.358,226,1000
0.359,226,1000
0.36,225,1000
0.361,224,1000
0.362,222,1000
0.363,221,1000
0.364,219,1000
0.365,217,1000
0.366,216,1000
0.367,214,1000
0.368,213,1000
0.369,215,1000
0.37,215,1000
0.371,215,1000
0.372,215,1000
0.373,215,1000
0.374,215,1000
0.375,215,1000
0.376,215,1000
0.377,215,1000
0.378,215,1000
0.379,215,1000
0.38,215,1000
0.381,215,1000
0.382,215,1000
0.383,215,1000
0.384,215,1000
0.385,215,1000
0.386,215,1000
0.387,215,1000
0.388,215,1000
0.389,215,1000
0.39,215,1000
0.391,215,1000
0.392,215,1000
0.393,215,1000
0.394,215,1000
0.395,215,1000
0.396,215,1000
0.397,215,1000
0.398,215,1000
0.399,215,1000
0.4,215,1000
0.401,215,1000
0.402,215,1000
0.403,215,1000
0.404,215,1000
0.405,215,1000
0.406,215,1000
0.407,215,1000
0.408,215,1000
0.409,214,1000
0.41,214,1000
0.411,214,1000
0.412,214,1000
0.413,214,1000
0.414,214,1000
0.415,214,1000
0.416,214,1000
0.417,214,1000
0.418,214,1000
0.419,214,1000
0.42,214,1000
0.421,214,1000
0.422,214,1000
0.423,214,1000
0.424,214,1000
0.425,214,1000
0.426,214,1000
0.427,214,1000
0.428,214,1000
0.429,214,1000
0.43,214,1000
0.431,214,1000
0.432,214,1000
0.433,214,1000
0.434,214,1000
0.435,214,1000
0.436,214,1000
0.437,214,1000
0.438,214,1000
0.439,214,1000
0.44,214,1000
0.441,214,1000
0.442,214,1000
0.443,214,1000
0.444,214,1000
0.445,214,1000
0.446,214,1000
0.447,214,1000
0.448,214,1000
0.449,231,1000
0.45,231,1000
0.451,231,1000
0.452,231,1000
0.453,231,1000
0.454,231,1000
0.455,230,1000
0.456,230,1000
0.457,230,1000
0.458,230,1000
0.459,230,1000
0.46,230,1000
0.461,230,1000
0.462,229,1000
0.463,229,1000
0.464,229,1000
0.465,229,1000
0.466,229,1000
0.467,229,1000
0.468,228,1000
0.469,228,1000
0.47,228,1000
0.471,228,1000
0.472,228,1000
0.473,228,1000
0.474,228,1000
0.475,227,1000
0.476,227,1000
0.477,227,1000
0.478,227,1000
0.479,227,1000
0.48,227,1000
0.481,226,1000
0.482,226,1000
0.483,226,1000
0.484,226,1000
0.485,226,1000
0.486,226,1000
0.487,226,1000
0.488,225,1000
0.489,225,1000
0.49,225,1000
0.491,225,1000
0.492,225,1000
0.493,225,1000
0.494,224,1000
0.495,224,1000
0.496,224,1000
0.497,224,1000
0.498,224,1000
0.499,224,1000
0.5,224,1000
0.501,223,1000
0.502,223,1000
0.503,223,1000
0.504,223,1000
0.505,223,1000
0.506,223,1000
0.507,222,1000
0.508,222,1000
0.509,222,1000
0.51,222,1000
0.511,222,1000
0.512,222,1000
0.513,222,1000
0.514,221,1000
0.515,221,1000
0.516,221,1000
0.517,221,1000
0.518,221,1000
0.519,221,1000
0.52,221,1000
0.521,220,1000
0.522,219,1000
0.523,218,1000
0.524,217,1000
0.525,217,1000
0.526,216,1000
0.527,215,1000
0.528,214,1000
0.529,214,1000
0.53,213,1000
0.531,212,1000
0.532,210,1000
0.533,210,1000
0.534,210,1000
0.535,211,1000
0.536,211,1000
0.537,211,1000
0.538,212,1000
0.539,212,1000
0.54,212,1000
0.541,213,1000
0.542,213,1000
0.543,213,1000
0.544,214,1000
0.545,214,1000
0.546,214,1000
0.547,215,1000
0.548,215,1000
0.549,215,1000
0.55,216,1000
0.551,216,1000
0.552,216,1000
0.553,216,1000
0.554,217,1000
0.555,217,1000
0.556,217,1000
0.557,218,1000
0.558,218,1000
0.559,218,1000
0.56,219,1000
0.561,219,1000
0.562,219,1000
0.563,220,1000
0.564,220,1000
0.565,220,1000
0.566,221,1000
0.567,221,1000
0.568,221,1000
0.569,222,1000
0.57,222,1000
0.571,222,1000
0.572,223,1000
0.573,223,1000
0.574,223,1000
0.575,224,1000
0.576,224,1000
0.577,224,1000
0.578,225,1000
0.579,225,1000
0.58,225,1000
0.581,226,1000
0.582,226,1000
0.583,226,1000
0.584,227,1000
0.585,227,1000
0.586,227,1000
0.587,228,1000
0.588,228,1000
0.589,228,1000
0.59,229,1000
0.591,229,1000
0.592,229,1000
0.593,230,1000
0.594,230,1000
0.595,230,1000
0.596,230,1000
0.597,230,1000
0.598,230,1000
0.599,229,1000
0.6,229,1000
0.601,228,1000
0.602,228,1000
0.603,228,1000
0.604,227,1000
0.605,227,1000
0.606,226,1000
0.607,226,1000
0.608,226,1000
0.609,225,1000
0.61,225,1000
0.611,225,1000
0.612,224,1000
0.613,224,1000
0.614,223,1000
0.615,223,1000
0.616,223,1000
0.617,222,1000
0.618,222,1000
0.619,221,1000
0.62,221,1000
0.621,221,1000
0.622,220,1000
0.623,220,1000
0.624,220,1000
0.625,220,1000
0.626,220,1000
0.627,221,1000
0.628,221,1000
0.629,221,1000
0.63,222,1000
0.631,222,1000
0.632,234,1000
0.633,234,1000
0.634,234,1000
0.635,234,1000
0.636,234,1000
0.637,234,1000
0.638,234,1000
0.639,234,1000
0.64,234,1000
0.641,233,1000
0.642,233,1000
0.643,233,1000
0.644,233,1000
0.645,233,1000
0.646,233,1000
0.647,233,1000
0.648,233,1000
0.649,232,1000
0.65,232,1000
0.651,232,1000
0.652,232,1000
0.653,232,1000
0.654,232,1000
0.655,232,1000
0.656,232,1000
0.657,232,1000
0.658,231,1000
0.659,231,1000
0.66,231,1000
0.661,231,1000
0.662,231,1000
0.663,231,1000
0.664,231,1000
0.665,231,1000
0.666,230,1000
0.667,230,1000
0.668,230,1000
0.669,230,1000
0.67,230,1000
0.671,230,1000
0.672,230,1000
0.673,230,1000
0.674,229,1000
0.675,229,1000
0.676,229,1000
0.677,229,1000
0.678,229,1000
0.679,229,1000
0.68,229,1000
0.681,229,1000
0.682,229,1000
0.683,228,1000
0.684,228,1000
0.685,228,1000
0.686,228,1000
0.687,228,1000
0.688,228,1000
0.689,228,1000
0.69,228,1000
0.691,227,1000
0.692,227,1000
0.693,227,1000
0.694,227,1000
0.695,227,1000
0.696,227,1000
0.697,227,1000
0.698,227,1000
0.699,226,1000
0.7,226,1000
0.701,226,1000
0.702,226,1000
0.703,226,1000
0.704,226,1000
0.705,226,1000
0.706,226,1000
0.707,226,1000
0.708,225,1000
0.709,225,1000
0.71,225,1000
0.711,225,1000
0.712,225,1000
0.713,225,1000
0.714,225,1000
0.715,225,1000
0.716,215,1000
0.717,215,1000
0.718,215,1000
0.719,215,1000
0.72,215,1000
0.721,215,1000
0.722,215,1000
0.723,215,1000
0.724,215,1000
0.725,215,1000
0.726,216,1000
0.727,216,1000
0.728,216,1000
0.729,216,1000
0.73,216,1000
0.731,216,1000
0.732,216,1000
0.733,216,1000
0.734,216,1000
0.735,216,1000
0.736,217,1000
0.737,217,1000
0.738,217,1000
0.739,217,1000
0.74,217,1000
0.741,217,1000
0.742,217,1000
0.743,217,1000
0.744,217,1000
0.745,217,1000
0.746,218,1000
0.747,218,1000
0.748,218,1000
0.749,218,1000
0.75,218,1000
0.751,218,1000
0.752,218,1000
0.753,218,1000
0.754,218,1000
0.755,218,1000
0.756,219,1000
0.757,219,1000
0.758,219,1000
0.759,219,1000
0.76,219,1000
0.761,219,1000
0.762,219,1000
0.763,219,1000
0.764,219,1000
0.765,219,1000
0.766,220,1000
0.767,220,1000
0.768,220,1000
0.769,220,1000
0.77,220,1000
0.771,220,1000
0.772,220,1000
0.773,220,1000
0.774,220,1000
0.775,220,1000
0.776,221,1000
0.777,221,1000
0.778,221,1000
0.779,221,1000
0.78,221,1000
0.781,221,1000
0.782,221,1000
0.783,221,1000
0.784,221,1000
0.785,222,1000
0.786,222,1000
0.787,222,1000
0.788,222,1000
0.789,222,1000
0.79,222,1000
0.791,222,1000
0.792,222,1000
0.793,219,1000
0.794,219,1000
0.795,219,1000
0.796,219,1000
0.797,219,1000
0.798,219,1000
0.799,219,1000
0.8,219,1000
0.801,219,1000
0.802,219,1000
0.803,219,1000
