time,distance0,distance1
0.001,408,451
0.002,408,451
0.003,351,382
0.004,351,382
0.005,350,382
0.006,350,382
0.007,349,382
0.008,349,382
0.009,349,383
0.01,348,383
0.011,348,383
0.012,347,383
0.013,347,383
0.014,346,383
0.015,346,384
0.016,345,384
0.017,345,384
0.018,345,384
0.019,344,384
0.02,344,385
0.021,343,385
0.022,343,385
0.023,342,385
0.024,342,385
0.025,342,385
0.026,341,386
0.027,341,386
0.028,340,386
0.029,340,386
0.03,339,386
0.031,339,386
0.032,338,387
0.033,338,387
0.034,338,387
0.035,337,387
0.036,337,387
0.037,336,387
0.038,336,388
0.039,335,388
0.04,335,388
0.041,334,388
0.042,334,388
0.043,334,388
0.044,334,388
0.045,336,388
0.046,337,388
0.047,338,388
0.048,339,387
0.049,340,387
0.05,341,387
0.051,342,387
0.052,343,386
0.053,344,386
0.054,345,386
0.055,346,386
0.056,347,385
0.057,348,385
0.058,349,385
0.059,350,385
0.06,351,385
0.061,351,385
0.062,351,385
0.063,351,385
0.064,351,386
0.065,351,386
0.066,351,386
0.067,351,386
0.068,350,386
0.069,350,386
0.07,350,385
0.071,350,385
0.072,350,385
0.073,350,384
0.074,350,384
0.075,350,384
0.076,350,383
0.077,350,383
0.078,350,382
0.079,350,382
0.08,350,382
0.081,350,381
0.082,350,381
0.083,350,381
0.084,353,401
0.085,353,401
0.086,353,401
0.087,353,400
0.088,353,400
0.089,353,400
0.09,353,399
0.091,353,399
0.092,353,399
0.093,353,399
0.094,353,398
0.095,353,398
0.096,353,398
0.097,353,397
0.098,353,397
0.099,353,397
0.1,353,396
0.101,353,396
0.102,353,396
0.103,353,396
0.104,353,395
0.105,353,395
0.106,353,395
0.107,353,394
0.108,353,394
0.109,353,394
0.11,353,393
0.111,353,393
0.112,353,393
0.113,353,393
0.114,353,392
0.115,353,392
0.116,353,392
0.117,353,391
0.118,353,391
0.119,353,391
0.12,354,390
0.121,355,390
0.122,356,389
0.123,357,389
0.124,357,389
0.125,356,389
0.126,355,389
0.127,354,389
0.128,353,389
0.129,352,389
0.13,351,389
0.131,350,389
0.132,349,389
0.133,348,389
0.134,347,389
0.135,346,389
0.136,345,389
0.137,344,389
0.138,343,389
0.139,342,389
0.14,341,389
0.141,340,389
0.142,339,389
0.143,338,389
0.144,338,389
0.145,338,389
0.146,338,389
0.147,339,389
0.148,339,388
0.149,339,388
0.15,340,388
0.151,340,388
0.152,341,387
0.153,341,387
0.154,341,387
0.155,342,387
0.156,342,386
0.157,342,386
0.158,343,386
0.159,343,386
0.16,344,386
0.161,344,386
0.162,344,386
0.163,344,386
0.164,344,386
0.165,344,386
0.166,344,386
0.167,344,387
0.168,344,387
0.169,344,387
0.17,345,387
0.171,345,387
0.172,345,387
0.173,345,388
0.174,345,388
0.175,345,388
0.176,345,388
0.177,345,388
0.178,345,388
0.179,345,388
0.18,346,390
0.181,346,391
0.182,347,393
0.183,347,394
0.184,348,395
0.185,348,397
0.186,349,398
0.187,349,399
0.188,349,399
0.189,348,399
0.19,348,399
0.191,347,399
0.192,347,398
0.193,346,398
0.194,346,398
0.195,345,398
0.196,345,397
0.197,344,397
0.198,344,397
0.199,343,397
0.2,343,396
0.201,342,396
0.202,342,396
0.203,341,396
0.204,341,395
0.205,340,395
0.206,340,395
0.207,339,395
0.208,339,395
0.209,339,394
0.21,340,394
0.211,341,394
0.212,342,394
0.213,343,394
0.214,344,394
0.215,345,394
0.216,346,394
0.217,347,394
0.218,348,394
0.219,349,394
0.22,350,394
0.221,351,394
0.222,352,394
0.223,353,394
0.224,354,394
0.225,355,392
0.226,356,391
0.227,357,389
0.228,358,388
0.229,359,386
0.23,360,385
0.231,362,383
0.232,362,382
0.233,361,382
0.234,360,382
0.235,358,382
0.236,357,383
0.237,356,383
0.238,354,383
0.239,353,384
0.24,352,384
0.241,350,384
0.242,349,385
0.243,347,385
0.244,346,385
0.245,345,386
0.246,343,386
0.247,342,386
0.248,341,386
0.249,340,386
0.25,340,386
0.251,340,386
0.252,340,386
0.253,340,386
0.254,340,386
0.255,340,386
0.256,340,386
0.257,340,386
0.258,340,386
0.259,340,386
0.26,340,386
0.261,340,386
0.262,340,386
0.263,340,386
0.264,340,386
0.265,340,386
0.266,340,386
0.267,340,386
0.268,340,386
0.269,341,386
0.27,342,386
0.271,343,386
0.272,344,386
0.273,345,386
0.274,346,386
0.275,347,386
0.276,348,387
0.277,349,387
0.278,350,387
0.279,351,387
0.28,352,387
0.281,353,387
0.282,354,387
0.283,355,387
0.284,354,390
0.285,353,392
0.286,352,394
0.287,351,396
0.288,349,399
0.289,348,401
0.29,347,403
0.291,346,405
0.292,346,405
0.293,347,405
0.294,347,404
0.295,348,404
0.296,348,403
0.297,349,403
0.298,349,402
0.299,350,402
0.3,350,401
0.301,351,401
0.302,351,400
0.303,352,400
0.304,352,399
0.305,353,399
0.306,353,398
0.307,354,398
0.308,354,397
0.309,355,397
0.31,355,396
0.311,356,396
0.312,357,395
0.313,357,395
0.314,357,395
0.315,358,395
0.316,358,395
0.317,358,395
0.318,359,395
0.319,359,395
0.32,359,395
0.321,360,395
0.322,360,395
0.323,360,395
0.324,360,394
0.325,360,393
0.326,359,393
0.327,359,392
0.328,359,392
0.329,358,391
0.33,358,391
0.331,358,390
0.332,357,389
0.333,357,389
0.334,356,388
0.335,356,388
0.336,356,387
0.337,355,387
0.338,355,386
0.339,355,386
0.34,350,383
0.341,350,383
0.342,351,383
0.343,351,383
0.344,352,384
0.345,352,384
0.346,353,384
0.347,353,384
0.348,354,384
0.349,354,385
0.35,355,385
0.351,355,385
0.352,356,385
0.353,356,386
0.354,356,386
0.355,357,386
0.356,357,386
0.357,358,386
0.358,358,387
0.359,359,387
0.36,359,387
0.361,360,387
0.362,360,388
0.363,361,388
0.364,361,388
0.365,362,388
0.366,362,388
0.367,363,389
0.368,363,389
0.369,364,389
0.37,364,389
0.371,364,389
0.372,363,389
0.373,362,389
0.374,361,388
0.375,360,388
0.376,359,388
0.377,359,387
0.378,359,387
0.379,359,386
0.38,359,386
0.381,359,386
0.382,359,385
0.383,360,385
0.384,360,385
0.385,360,384
0.386,360,384
0.387,360,383
0.388,360,383
0.389,361,383
0.39,361,382
0.391,361,382
0.392,361,382
0.393,361,381
0.394,361,381
0.395,361,381
0.396,360,380
0.397,359,380
0.398,358,380
0.399,356,380
0.4,355,379
0.401,354,379
0.402,352,379
