time,distance0,distance1
0.001,392,398
0.002,392,398
0.003,393,387
0.004,393,387
0.005,393,387
0.006,393,387
0.007,393,388
0.008,393,388
0.009,393,388
0.01,393,388
0.011,393,389
0.012,393,389
0.013,393,389
0.014,393,389
0.015,393,390
0.016,394,390
0.017,394,390
0.018,394,390
0.019,394,391
0.02,394,391
0.021,394,391
0.022,394,391
0.023,394,392
0.024,394,392
0.025,394,392
0.026,394,392
0.027,394,393
0.028,394,393
0.029,394,393
0.03,395,393
0.031,395,394
0.032,395,394
0.033,395,394
0.034,395,394
0.035,395,395
0.036,395,395
0.037,395,395
0.038,395,395
0.039,395,395
0.04,395,396
0.041,395,396
0.042,395,396
0.043,395,396
0.044,395,396
0.045,395,395
0.046,394,394
0.047,394,394
0.048,394,393
0.049,393,392
0.05,393,392
0.051,393,391
0.052,392,390
0.053,392,390
0.054,391,389
0.055,391,388
0.056,391,388
0.057,390,387
0.058,390,386
0.059,390,386
0.06,389,386
0.061,389,386
0.062,389,386
0.063,389,387
0.064,389,387
0.065,388,387
0.066,388,388
0.067,388,388
0.068,388,388
0.069,388,389
0.07,387,389
0.071,387,389
0.072,387,390
0.073,387,390
0.074,387,390
0.075,386,391
0.076,386,391
0.077,386,391
0.078,386,392
0.079,386,392
0.08,386,393
0.081,390,393
0.082,395,393
0.083,399,393
0.084,400,393
0.085,400,393
0.086,400,393
0.087,400,393
0.088,400,393
0.089,400,393
0.09,400,393
0.091,400,393
0.092,400,393
0.093,400,393
0.094,400,393
0.095,400,393
0.096,400,393
0.097,400,393
0.098,400,393
0.099,400,393
0.1,400,393
0.101,400,393
0.102,400,393
0.103,400,393
0.104,400,393
0.105,400,393
0.106,400,393
0.107,400,393
0.108,400,394
0.109,400,395
0.11,399,396
0.111,399,396
0.112,398,397
0.113,398,398
0.114,397,399
0.115,397,399
0.116,397,400
0.117,396,401
0.118,396,402
0.119,395,402
0.12,395,403
0.121,394,404
0.122,394,405
0.123,394,405
0.124,393,404
0.125,392,403
0.126,392,401
0.127,391,400
0.128,391,399
0.129,390,397
0.13,390,396
0.131,389,395
0.132,388,393
0.133,388,392
0.134,387,390
0.135,387,389
0.136,386,388
0.137,386,386
0.138,385,385
0.139,385,384
0.14,385,384
0.141,386,384
0.142,386,385
0.143,387,385
0.144,387,385
0.145,388,386
0.146,388,386
0.147,389,387
0.148,389,387
0.149,390,387
0.15,390,388
0.151,391,388
0.152,391,388
0.153,392,389
0.154,392,389
0.155,392,390
0.156,392,390
0.157,392,390
0.158,392,391
0.159,392,391
0.16,392,391
0.161,392,392
0.162,392,392
0.163,392,393
0.164,392,393
0.165,392,393
0.166,392,394
0.167,392,394
0.168,392,394
0.169,392,395
0.17,392,395
0.171,392,395
0.172,393,395
0.173,393,394
0.174,393,393
0.175,393,392
0.176,393,391
0.177,393,390
0.178,394,389
0.179,394,388
0.18,394,387
0.181,394,386
0.182,394,385
0.183,394,384
0.184,394,384
0.185,394,383
0.186,394,383
0.187,394,383
0.188,393,382
0.189,393,382
0.19,393,382
0.191,392,381
0.192,392,381
0.193,392,381
0.194,391,380
0.195,391,380
0.196,391,380
0.197,390,379
0.198,390,379
0.199,390,379
0.2,390,378
0.201,390,378
0.202,390,377
0.203,390,377
0.204,390,376
0.205,390,376
0.206,390,375
0.207,390,375
0.208,391,374
0.209,391,373
0.21,391,373
0.211,391,372
0.212,391,372
0.213,391,371
0.214,391,371
0.215,391,370
0.216,391,370
0.217,390,371
0.218,388,373
0.219,387,375
0.22,385,376
0.221,383,378
0.222,382,380
0.223,380,382
0.224,379,383
0.225,379,384
0.226,379,385
0.227,380,386
0.228,380,387
0.229,381,388
0.23,381,389
0.231,382,391
0.232,382,391
0.233,382,391
0.234,382,391
0.235,381,391
0.236,381,391
0.237,381,391
0.238,380,391
0.239,380,391
0.24,380,391
0.241,379,390
0.242,379,390
0.243,378,390
0.244,378,390
0.245,378,390
0.246,377,390
0.247,377,390
0.248,377,390
0.249,377,390
0.25,378,390
0.251,378,391
0.252,379,391
0.253,379,391
0.254,380,392
0.255,380,392
0.256,381,392
0.257,381,393
0.258,382,393
0.259,382,394
0.26,383,394
0.261,383,394
0.262,384,395
0.263,384,395
0.264,385,395
0.265,385,396
0.266,386,396
0.267,386,397
0.268,387,397
0.269,387,397
0.27,388,398
0.271,388,398
0.272,389,398
0.273,389,399
0.274,390,399
0.275,390,399
0.276,391,400
0.277,391,400
0.278,391,400
0.279,391,400
0.28,391,401
0.281,391,401
0.282,391,401
0.283,391,401
0.284,391,401
0.285,391,400
0.286,391,400
0.287,391,399
0.288,391,398
0.289,391,398
0.29,391,397
0.291,391,396
0.292,391,396
0.293,391,395
0.294,391,394
0.295,391,394
0.296,391,393
0.297,391,392
0.298,391,392
0.299,391,391
0.3,391,390
0.301,391,390
0.302,391,389
0.303,391,388
0.304,391,388
0.305,390,388
0.306,389,388
0.307,388,389
0.308,388,389
0.309,387,389
0.31,386,390
0.311,385,390
0.312,385,390
0.313,384,391
0.314,383,391
0.315,382,392
0.316,382,392
0.317,381,392
0.318,380,393
0.319,379,393
0.32,379,393
0.321,377,394
0.322,376,395
0.323,374,396
0.324,373,397
0.325,372,398
0.326,370,399
0.327,369,400
0.328,368,401
0.329,366,402
0.33,365,403
0.331,364,403
0.332,367,403
0.333,371,402
0.334,374,401
0.335,378,400
0.336,382,399
0.337,386,398
0.338,389,397
0.339,393,396
0.34,393,395
0.341,393,395
0.342,392,394
0.343,392,394
0.344,392,393
0.345,391,393
0.346,391,393
0.347,390,392
0.348,390,392
0.349,390,391
0.35,389,391
0.351,389,390
0.352,389,390
0.353,388,390
0.354,388,389
0.355,387,389
0.356,387,388
0.357,387,388
0.358,386,387
0.359,386,387
0.36,386,387
0.361,386,387
0.362,386,387
0.363,386,387
0.364,386,387
0.365,386,387
0.366,387,388
0.367,387,388
0.368,387,388
0.369,387,388
0.37,387,388
0.371,388,389
0.372,388,389
0.373,388,389
0.374,388,389
0.375,388,389
0.376,388,389
0.377,386,390
0.378,384,390
0.379,382,390
0.38,380,390
0.381,378,390
0.382,376,390
0.383,374,390
0.384,372,390
0.385,370,390
0.386,368,390
0.387,366,390
0.388,367,391
0.389,369,391
0.39,371,391
0.391,372,391
0.392,374,392
0.393,376,392
0.394,378,392
0.395,379,392
0.396,381,393
0.397,383,393
0.398,385,393
0.399,386,393
0.4,388,394
0.401,390,394
0.402,392,394
0.403,393,394
0.404,392,396
0.405,390,397
0.406,388,399
0.407,386,400
0.408,384,401
0.409,384,401
0.41,384,401
0.411,384,400
0.412,384,400
0.413,384,399
0.414,384,399
0.415,385,398
0.416,385,398
0.417,385,397
0.418,385,397
0.419,385,396
0.42,385,396
0.421,385,395
0.422,386,395
0.423,386,394
0.424,386,394
0.425,386,393
0.426,386,393
0.427,386,392
0.428,386,392
0.429,387,391
0.43,387,391
0.431,387,390
0.432,387,390
0.433,387,389
0.434,387,389
0.435,387,389
0.436,388,389
0.437,389,389
0.438,389,389
0.439,390,389
0.44,390,389
0.441,391,389
0.442,391,390
0.443,392,390
0.444,392,390
0.445,393,390
0.446,393,390
0.447,394,390
0.448,394,391
0.449,394,391
0.45,394,391
0.451,394,391
0.452,394,391
0.453,394,391
0.454,394,391
0.455,394,391
0.456,393,391
0.457,393,391
0.458,393,391
0.459,393,391
0.46,393,391
0.461,393,391
0.462,393,391
0.463,393,391
0.464,392,391
0.465,392,391
0.466,392,391
0.467,391,390
0.468,391,390
0.469,390,389
0.47,390,389
0.471,389,388
0.472,389,388
0.473,389,388
0.474,388,387
0.475,388,387
0.476,387,386
0.477,387,386
0.478,386,385
0.479,386,385
0.48,386,385
0.481,385,385
0.482,384,385
0.483,384,386
0.484,383,386
0.485,383,387
0.486,382,387
0.487,382,388
0.488,381,388
0.489,381,389
