time,distance0,distance1
0.001,392,394
0.002,392,394
0.003,392,394
0.004,392,394
0.005,392,394
0.006,392,394
0.007,392,394
0.008,392,394
0.009,392,394
0.01,392,394
0.011,392,394
0.012,392,394
0.013,392,394
0.014,392,394
0.015,392,394
0.016,392,394
0.017,392,394
0.018,392,394
0.019,392,394
0.02,392,394
0.021,392,394
0.022,392,394
0.023,392,394
0.024,392,394
0.025,392,394
0.026,392,394
0.027,392,394
0.028,392,394
0.029,392,394
0.03,392,394
0.031,392,394
0.032,392,394
0.033,392,394
0.034,392,394
0.035,392,394
0.036,392,394
0.037,392,394
0.038,392,394
0.039,392,394
0.04,392,394
0.041,392,394
0.042,392,394
0.043,392,394
0.044,392,394
0.045,392,394
0.046,392,394
0.047,392,394
0.048,392,394
0.049,392,394
0.05,392,394
0.051,392,394
0.052,392,394
0.053,392,394
0.054,392,394
0.055,392,394
0.056,392,394
0.057,392,394
0.058,392,394
0.059,392,394
0.06,392,394
0.061,392,394
0.062,392,394
0.063,392,394
0.064,392,394
0.065,392,394
0.066,392,394
0.067,392,394
0.068,392,394
0.069,392,394
0.07,392,394
0.071,392,394
0.072,392,394
0.073,392,394
0.074,392,394
0.075,392,394
0.076,391,394
0.077,391,394
0.078,391,394
0.079,391,394
0.08,390,395
0.081,390,395
0.082,390,395
0.083,389,395
0.084,389,396
0.085,389,396
0.086,388,396
0.087,388,396
0.088,388,397
0.089,388,397
0.09,387,397
0.091,387,397
0.092,387,398
0.093,386,398
0.094,386,398
0.095,386,398
0.096,386,398
0.097,386,398
0.098,386,397
0.099,386,396
0.1,386,395
0.101,387,395
0.102,387,394
0.103,387,393
0.104,387,392
0.105,387,391
0.106,388,391
0.107,388,390
0.108,388,389
0.109,388,388
0.11,389,388
0.111,389,387
0.112,389,386
0.113,389,385
0.114,389,384
0.115,390,384
0.116,390,383
0.117,390,382
0.118,390,381
0.119,391,381
0.12,391,380
0.121,391,379
0.122,391,378
0.123,391,377
0.124,392,377
0.125,392,376
0.126,392,375
0.127,392,374
0.128,392,399
0.129,392,399
0.13,392,399
0.131,392,399
0.132,392,399
0.133,391,399
0.134,391,399
0.135,391,399
0.136,391,399
0.137,390,399
0.138,390,399
0.139,390,399
0.14,390,399
0.141,389,399
0.142,389,399
0.143,389,399
0.144,389,399
0.145,388,400
0.146,388,400
0.147,388,400
0.148,388,400
0.149,387,400
0.15,387,400
0.151,387,400
0.152,387,400
0.153,386,400
0.154,386,400
0.155,386,400
0.156,386,400
0.157,386,400
0.158,385,400
0.159,385,400
0.16,385,400
0.161,385,400
0.162,384,401
0.163,384,401
0.164,384,401
0.165,384,401
0.166,383,401
0.167,383,401
0.168,383,401
0.169,383,401
0.17,382,401
0.171,382,401
0.172,382,401
0.173,382,401
0.174,381,401
0.175,381,401
0.176,381,401
0.177,381,401
0.178,380,402
0.179,380,402
0.18,380,402
0.181,380,402
0.182,379,402
0.183,379,402
0.184,379,402
0.185,379,402
0.186,379,402
0.187,378,402
0.188,378,402
0.189,378,402
0.19,378,402
0.191,377,402
0.192,377,402
0.193,377,402
0.194,377,402
0.195,376,403
0.196,376,403
0.197,376,403
0.198,376,403
0.199,375,403
0.2,375,403
0.201,375,403
0.202,375,403
0.203,374,403
0.204,374,403
0.205,374,403
0.206,374,403
0.207,373,403
0.208,373,403
0.209,373,403
0.21,373,403
0.211,373,403
0.212,372,404
0.213,372,404
0.214,372,404
0.215,372,404
0.216,371,404
0.217,371,404
0.218,371,404
0.219,371,404
0.22,370,404
0.221,370,404
0.222,370,404
0.223,370,404
0.224,369,404
0.225,369,404
0.226,369,404
0.227,369,404
0.228,369,404
0.229,372,402
0.23,374,400
0.231,376,398
0.232,379,396
0.233,381,394
0.234,383,392
0.235,386,390
0.236,393,405
0.237,393,404
0.238,393,404
0.239,393,403
0.24,393,402
0.241,393,401
0.242,393,400
0.243,392,400
0.244,392,399
0.245,392,398
0.246,392,397
0.247,392,396
0.248,392,396
0.249,392,395
0.25,392,394
0.251,391,393
0.252,391,392
0.253,391,392
0.254,391,391
0.255,391,390
0.256,391,389
0.257,391,388
0.258,390,388
0.259,390,387
0.26,390,386
0.261,390,385
0.262,390,384
0.263,390,384
0.264,390,383
0.265,389,382
0.266,389,381
0.267,389,380
0.268,389,380
0.269,389,379
0.27,389,378
0.271,389,377
0.272,388,377
0.273,387,379
0.274,386,381
0.275,384,384
0.276,389,385
0.277,389,385
