time,distance0,distance1
0.001,561,534
0.002,561,534
0.003,561,534
0.004,561,534
0.005,561,534
0.006,561,534
0.007,561,534
0.008,561,534
0.009,561,534
0.01,561,534
0.011,561,534
0.012,561,534
0.013,561,534
0.014,561,534
0.015,561,534
0.016,561,534
0.017,561,534
0.018,561,534
0.019,561,534
0.02,561,534
0.021,561,534
0.022,561,534
0.023,561,534
0.024,561,534
0.025,561,534
0.026,561,534
0.027,561,534
0.028,561,534
0.029,561,534
0.03,561,534
0.031,561,534
0.032,561,534
0.033,561,534
0.034,561,534
0.035,561,534
0.036,561,534
0.037,561,534
0.038,561,534
0.039,561,534
0.04,561,534
0.041,561,534
0.042,561,534
0.043,561,534
0.044,561,534
0.045,561,534
0.046,561,534
0.047,561,534
0.048,561,534
0.049,561,534
0.05,561,534
0.051,561,534
0.052,561,534
0.053,561,534
0.054,561,534
0.055,561,534
0.056,561,534
0.057,561,534
0.058,561,534
0.059,561,534
0.06,561,534
0.061,561,534
0.062,561,534
0.063,561,534
0.064,561,534
0.065,561,534
0.066,561,534
0.067,561,534
0.068,561,534
0.069,561,534
0.07,561,534
0.071,561,534
0.072,561,534
0.073,561,534
0.074,561,534
0.075,561,534
0.076,561,534
0.077,561,534
0.078,561,534
0.079,561,534
0.08,561,534
0.081,561,534
0.082,561,534
0.083,561,534
0.084,561,534
0.085,561,534
0.086,561,534
0.087,561,534
0.088,561,534
0.089,561,534
0.09,561,534
0.091,561,534
0.092,561,534
0.093,561,534
0.094,561,534
0.095,561,534
0.096,561,534
0.097,561,534
0.098,561,534
0.099,561,534
0.1,561,534
0.101,561,534
0.102,561,534
0.103,561,534
0.104,561,534
0.105,561,534
0.106,561,534
0.107,561,534
0.108,561,534
0.109,561,534
0.11,561,534
0.111,561,534
0.112,561,534
0.113,561,534
0.114,561,534
0.115,561,534
0.116,561,534
0.117,561,534
0.118,561,534
0.119,561,534
0.12,561,534
0.121,561,534
0.122,561,534
0.123,561,534
0.124,561,534
0.125,561,534
0.126,561,534
0.127,561,534
0.128,561,534
0.129,561,534
0.13,561,534
0.131,561,534
0.132,561,534
0.133,561,534
0.134,561,534
0.135,561,534
0.136,561,534
0.137,561,534
0.138,561,534
0.139,561,534
0.14,561,534
0.141,561,534
0.142,561,534
0.143,561,534
0.144,561,534
0.145,561,534
0.146,561,534
0.147,561,534
0.148,561,534
0.149,561,534
0.15,561,534
0.151,561,534
0.152,561,534
0.153,561,534
0.154,561,534
0.155,561,534
0.156,561,534
0.157,561,534
0.158,561,534
0.159,561,534
0.16,561,534
0.161,561,534
0.162,561,534
0.163,561,534
0.164,561,534
0.165,561,534
0.166,561,534
0.167,561,534
0.168,561,534
0.169,561,534
0.17,561,534
0.171,561,534
0.172,561,534
0.173,561,534
0.174,561,534
0.175,561,534
0.176,561,534
0.177,561,534
0.178,561,534
0.179,561,534
0.18,561,534
0.181,561,534
0.182,561,534
0.183,561,534
0.184,561,534
0.185,561,534
0.186,561,534
0.187,561,534
0.188,561,534
0.189,561,534
0.19,561,534
0.191,561,534
0.192,561,534
0.193,561,534
0.194,561,534
0.195,561,534
0.196,561,534
0.197,561,534
0.198,561,534
0.199,561,534
0.2,561,534
0.201,561,534
0.202,561,534
0.203,561,534
0.204,561,534
0.205,561,534
0.206,561,534
0.207,561,534
0.208,561,534
0.209,561,534
0.21,561,534
0.211,561,534
0.212,561,534
0.213,561,534
0.214,561,534
0.215,561,534
0.216,561,534
0.217,561,534
0.218,561,534
0.219,561,534
0.22,561,534
0.221,561,534
0.222,561,534
0.223,561,534
0.224,561,534
0.225,561,534
0.226,561,534
0.227,561,534
0.228,561,534
0.229,561,534
0.23,561,534
0.231,561,534
0.232,561,534
0.233,561,534
0.234,561,534
0.235,561,534
0.236,561,534
0.237,561,534
0.238,561,534
0.239,561,534
0.24,561,534
0.241,561,534
0.242,561,534
0.243,561,534
0.244,561,534
0.245,561,534
0.246,561,534
0.247,561,534
0.248,561,534
0.249,561,534
0.25,561,534
0.251,561,534
0.252,561,534
0.253,561,534
0.254,561,534
0.255,561,534
0.256,561,534
0.257,561,534
0.258,561,534
0.259,561,534
0.26,561,534
0.261,561,534
0.262,561,534
0.263,561,534
0.264,561,534
0.265,561,534
0.266,561,534
0.267,561,534
0.268,561,534
0.269,561,534
0.27,561,534
0.271,561,534
0.272,561,534
0.273,561,534
0.274,561,534
0.275,561,534
0.276,561,534
0.277,561,534
0.278,561,534
0.279,561,534
0.28,561,534
0.281,561,534
0.282,561,534
0.283,561,534
0.284,561,534
0.285,561,534
0.286,561,534
0.287,561,534
0.288,561,534
0.289,561,534
0.29,561,534
0.291,561,534
0.292,561,534
0.293,561,534
0.294,561,534
0.295,561,534
0.296,561,534
0.297,561,534
0.298,561,534
0.299,561,534
0.3,561,534
0.301,561,534
0.302,561,534
0.303,561,534
0.304,561,534
0.305,561,534
0.306,561,534
0.307,561,534
0.308,561,534
0.309,561,534
0.31,561,534
0.311,561,534
0.312,561,534
0.313,561,534
0.314,561,534
0.315,561,534
0.316,561,534
0.317,561,534
0.318,561,534
0.319,561,534
0.32,561,534
0.321,561,534
0.322,561,534
0.323,561,534
0.324,561,534
0.325,561,534
0.326,561,534
0.327,561,534
0.328,561,534
0.329,561,534
0.33,561,534
0.331,561,534
0.332,561,534
0.333,561,534
0.334,561,534
0.335,561,534
0.336,561,534
0.337,561,534
0.338,561,534
0.339,561,534
0.34,561,534
0.341,561,534
0.342,561,534
0.343,561,534
0.344,561,534
0.345,561,534
0.346,561,534
0.347,561,534
0.348,561,534
0.349,561,534
0.35,561,534
0.351,561,534
0.352,561,534
0.353,561,534
0.354,561,534
0.355,561,534
0.356,561,534
0.357,561,534
0.358,561,534
0.359,561,534
0.36,561,534
0.361,561,534
0.362,561,534
0.363,561,534
0.364,561,534
0.365,561,534
0.366,561,534
0.367,561,534
0.368,561,534
0.369,561,534
0.37,561,534
0.371,561,534
0.372,561,534
0.373,561,534
0.374,561,534
0.375,561,534
0.376,561,534
0.377,561,534
0.378,561,534
0.379,561,534
0.38,561,534
0.381,561,534
0.382,561,534
0.383,561,534
0.384,561,534
0.385,561,534
0.386,561,534
0.387,561,534
0.388,561,534
0.389,561,534
0.39,561,534
0.391,561,534
0.392,561,534
0.393,561,534
0.394,561,534
0.395,561,534
0.396,561,534
0.397,561,534
0.398,561,534
0.399,561,534
0.4,561,534
0.401,561,534
0.402,561,534
0.403,561,534
0.404,561,534
0.405,561,534
0.406,561,534
0.407,561,534
0.408,561,534
0.409,561,534
0.41,561,534
0.411,561,534
0.412,561,534
0.413,561,534
0.414,561,534
0.415,561,534
0.416,561,534
0.417,561,534
0.418,561,534
0.419,561,534
0.42,561,534
0.421,561,534
0.422,561,534
0.423,561,534
0.424,561,534
0.425,561,534
0.426,561,534
0.427,561,534
0.428,561,534
0.429,561,534
0.43,561,534
0.431,561,534
0.432,561,534
0.433,561,534
0.434,561,534
0.435,561,534
0.436,561,534
0.437,561,534
0.438,561,534
0.439,561,534
0.44,561,534
0.441,561,534
0.442,561,534
0.443,561,534
0.444,561,534
0.445,561,534
0.446,561,534
0.447,561,534
0.448,561,534
0.449,561,534
0.45,561,534
0.451,561,534
0.452,561,534
0.453,561,534
0.454,561,534
0.455,561,534
0.456,561,534
0.457,561,534
0.458,561,534
0.459,561,534
0.46,561,534
0.461,561,534
0.462,561,534
0.463,561,534
0.464,561,534
0.465,561,534
0.466,561,534
0.467,561,534
0.468,561,534
0.469,561,534
0.47,561,534
0.471,561,534
0.472,561,534
0.473,561,534
0.474,561,534
0.475,561,534
0.476,561,534
0.477,561,534
0.478,561,534
0.479,561,534
0.48,561,534
0.481,561,534
0.482,561,534
0.483,561,534
0.484,561,534
0.485,561,534
0.486,561,534
0.487,561,534
0.488,561,534
0.489,561,534
0.49,561,534
0.491,561,534
0.492,561,534
0.493,561,534
0.494,561,534
0.495,561,534
0.496,561,534
0.497,561,534
0.498,561,534
0.499,561,534
0.5,561,534
0.501,561,534
0.502,561,534
0.503,561,534
0.504,561,534
0.505,561,534
0.506,561,534
0.507,561,534
0.508,561,534
0.509,561,534
0.51,561,534
0.511,561,534
0.512,561,534
0.513,561,534
0.514,561,534
0.515,561,534
0.516,561,534
0.517,561,534
0.518,561,534
0.519,561,534
0.52,561,534
0.521,561,534
0.522,561,534
0.523,561,534
0.524,561,534
0.525,561,534
0.526,561,534
0.527,561,534
0.528,561,534
0.529,561,534
0.53,561,534
0.531,561,534
0.532,561,534
0.533,561,534
0.534,561,534
0.535,561,534
0.536,561,534
0.537,561,534
0.538,561,534
0.539,561,534
0.54,561,534
0.541,561,534
0.542,561,534
0.543,561,534
0.544,561,534
0.545,561,534
0.546,561,534
0.547,561,534
0.548,561,534
0.549,561,534
0.55,561,534
0.551,561,534
