time,distance0,distance1
0.001,572,530
0.002,572,530
0.003,572,530
0.004,572,530
0.005,572,530
0.006,572,530
0.007,572,530
0.008,572,530
0.009,572,530
0.01,572,530
0.011,572,530
0.012,572,530
0.013,572,530
0.014,572,530
0.015,572,530
0.016,572,530
0.017,572,530
0.018,572,530
0.019,572,530
0.02,572,530
0.021,572,530
0.022,572,530
0.023,572,530
0.024,572,530
0.025,572,530
0.026,572,530
0.027,572,530
0.028,572,530
0.029,572,530
0.03,572,530
0.031,572,530
0.032,572,530
0.033,572,530
0.034,572,530
0.035,572,530
0.036,572,530
0.037,572,530
0.038,572,530
0.039,572,530
0.04,572,530
0.041,572,530
0.042,572,530
0.043,572,530
0.044,572,530
0.045,572,530
0.046,572,530
0.047,572,530
0.048,572,530
0.049,572,530
0.05,572,530
0.051,572,530
0.052,572,530
0.053,572,530
0.054,572,530
0.055,572,530
0.056,572,530
0.057,572,530
0.058,572,530
0.059,572,530
0.06,572,530
0.061,572,530
0.062,572,530
0.063,572,530
0.064,572,530
0.065,572,530
0.066,572,530
0.067,572,530
0.068,572,530
0.069,572,530
0.07,572,530
0.071,572,530
0.072,572,530
0.073,572,530
0.074,572,530
0.075,572,530
0.076,572,530
0.077,572,530
0.078,572,530
0.079,572,530
0.08,572,530
0.081,572,530
0.082,572,530
0.083,572,530
0.084,572,530
0.085,572,530
0.086,572,530
0.087,572,530
0.088,572,530
0.089,572,530
0.09,572,530
0.091,572,530
0.092,572,530
0.093,572,530
0.094,572,530
0.095,572,530
0.096,572,530
0.097,572,530
0.098,572,530
0.099,572,530
0.1,572,530
0.101,572,530
0.102,572,530
0.103,572,530
0.104,572,530
0.105,572,530
0.106,572,530
0.107,572,530
0.108,572,530
0.109,572,530
0.11,572,530
0.111,572,530
0.112,572,530
0.113,572,530
0.114,572,530
0.115,572,530
0.116,572,530
0.117,572,530
0.118,572,530
0.119,572,530
0.12,572,530
0.121,572,530
0.122,572,530
0.123,572,530
0.124,572,530
0.125,572,530
0.126,572,530
0.127,572,530
0.128,572,530
0.129,572,530
0.13,572,530
0.131,572,530
0.132,572,530
0.133,572,530
0.134,572,530
0.135,572,530
0.136,572,530
0.137,572,530
0.138,572,530
0.139,572,530
0.14,572,530
0.141,572,530
0.142,572,530
0.143,572,530
0.144,572,530
0.145,572,530
0.146,572,530
0.147,572,530
0.148,572,530
0.149,572,530
0.15,572,530
0.151,572,530
0.152,572,530
0.153,572,530
0.154,572,530
0.155,572,530
0.156,572,530
0.157,572,530
0.158,572,530
0.159,572,530
0.16,572,530
0.161,572,530
0.162,572,530
0.163,572,530
0.164,572,530
0.165,572,530
0.166,572,530
0.167,572,530
0.168,572,530
0.169,572,530
0.17,572,530
0.171,572,530
0.172,572,530
0.173,572,530
0.174,572,530
0.175,572,530
0.176,572,530
0.177,572,530
0.178,572,530
0.179,572,530
0.18,572,530
0.181,572,530
0.182,572,530
0.183,572,530
0.184,572,530
0.185,572,530
0.186,572,530
0.187,572,530
0.188,572,530
0.189,572,530
0.19,572,530
0.191,572,530
0.192,572,530
0.193,572,530
0.194,572,530
0.195,572,530
0.196,572,530
0.197,572,530
0.198,572,530
0.199,572,530
0.2,572,530
0.201,572,530
0.202,572,530
0.203,572,530
0.204,572,530
0.205,572,530
0.206,572,530
0.207,572,530
0.208,572,530
0.209,572,530
0.21,572,530
0.211,572,530
0.212,572,530
0.213,572,530
0.214,572,530
0.215,572,530
0.216,572,530
0.217,572,530
0.218,572,530
0.219,572,530
0.22,572,530
0.221,572,530
0.222,572,530
0.223,572,530
0.224,572,530
0.225,572,530
0.226,572,530
0.227,572,530
0.228,572,530
0.229,572,530
0.23,572,530
0.231,572,530
0.232,572,530
0.233,572,530
0.234,572,530
0.235,572,530
0.236,572,530
0.237,572,530
0.238,572,530
0.239,572,530
0.24,572,530
0.241,572,530
0.242,572,530
0.243,572,530
0.244,572,530
0.245,572,530
0.246,572,530
0.247,572,530
0.248,572,530
0.249,572,530
0.25,572,530
0.251,572,530
0.252,572,530
0.253,572,530
0.254,572,530
0.255,572,530
0.256,572,530
0.257,572,530
0.258,572,530
0.259,572,530
0.26,572,530
0.261,572,530
0.262,572,530
0.263,572,530
0.264,572,530
0.265,572,530
0.266,572,530
0.267,572,530
0.268,572,530
0.269,572,530
0.27,572,530
0.271,572,530
0.272,572,530
0.273,572,530
0.274,572,530
0.275,572,530
0.276,572,530
0.277,572,530
0.278,572,530
0.279,572,530
0.28,572,530
0.281,572,530
0.282,572,530
0.283,572,530
0.284,572,530
0.285,572,530
0.286,572,530
0.287,572,530
0.288,572,530
0.289,572,530
0.29,572,530
0.291,572,530
0.292,572,530
0.293,572,530
0.294,572,530
0.295,572,530
0.296,572,530
0.297,572,530
0.298,572,530
0.299,572,530
0.3,572,530
0.301,572,530
0.302,572,530
0.303,572,530
0.304,572,530
0.305,572,530
0.306,572,530
0.307,572,530
0.308,572,530
0.309,572,530
0.31,572,530
0.311,572,530
0.312,572,530
0.313,572,530
0.314,572,530
0.315,572,530
0.316,572,530
0.317,572,530
0.318,572,530
0.319,572,530
0.32,572,530
0.321,572,530
0.322,572,530
0.323,572,530
0.324,572,530
0.325,572,530
0.326,572,530
0.327,572,530
0.328,572,530
0.329,572,530
0.33,572,530
0.331,572,530
0.332,572,530
0.333,572,530
0.334,572,530
0.335,572,530
0.336,572,530
0.337,572,530
0.338,572,530
0.339,572,530
0.34,572,530
0.341,572,530
0.342,572,530
0.343,572,530
0.344,572,530
0.345,572,530
0.346,572,530
0.347,572,530
0.348,572,530
0.349,572,530
0.35,572,530
0.351,572,530
0.352,572,530
0.353,572,530
0.354,572,530
0.355,572,530
0.356,572,530
0.357,572,530
0.358,572,530
0.359,572,530
0.36,572,530
0.361,572,530
0.362,572,530
0.363,572,530
0.364,572,530
0.365,572,530
0.366,572,530
0.367,572,530
0.368,572,530
0.369,572,530
0.37,572,530
0.371,572,530
0.372,572,530
0.373,572,530
0.374,572,530
0.375,572,530
0.376,572,530
0.377,572,530
0.378,572,530
0.379,572,530
0.38,572,530
0.381,572,530
0.382,572,530
0.383,572,530
0.384,572,530
0.385,572,530
0.386,572,530
0.387,572,530
0.388,572,530
0.389,572,530
0.39,572,530
0.391,572,530
0.392,572,530
0.393,572,530
0.394,572,530
0.395,572,530
0.396,572,530
0.397,572,530
0.398,572,530
0.399,572,530
0.4,572,530
0.401,572,530
0.402,572,530
0.403,572,530
0.404,572,530
0.405,572,530
0.406,572,530
0.407,572,530
0.408,572,530
0.409,572,530
0.41,572,530
0.411,572,530
0.412,572,530
0.413,572,530
0.414,572,530
0.415,572,530
0.416,572,530
0.417,572,530
0.418,572,530
0.419,572,530
0.42,572,530
0.421,572,530
0.422,572,530
0.423,572,530
0.424,572,530
0.425,572,530
0.426,572,530
0.427,572,530
0.428,572,530
0.429,572,530
0.43,572,530
0.431,572,530
0.432,572,530
0.433,572,530
0.434,572,530
0.435,572,530
0.436,572,530
0.437,572,530
0.438,572,530
0.439,572,530
0.44,572,530
0.441,572,530
0.442,572,530
0.443,572,530
0.444,572,530
0.445,572,530
0.446,572,530
0.447,572,530
0.448,572,530
0.449,572,530
0.45,572,530
0.451,572,530
0.452,572,530
0.453,572,530
0.454,572,530
0.455,572,530
0.456,572,530
0.457,572,530
0.458,572,530
0.459,572,530
0.46,572,530
0.461,572,530
0.462,572,530
0.463,572,530
0.464,572,530
0.465,572,530
0.466,572,530
0.467,572,530
0.468,572,530
0.469,572,530
0.47,572,530
0.471,572,530
0.472,572,530
0.473,572,530
0.474,572,530
0.475,572,530
0.476,572,530
0.477,572,530
0.478,572,530
0.479,572,530
0.48,572,530
0.481,572,530
0.482,572,530
0.483,572,530
0.484,572,530
0.485,572,530
0.486,572,530
0.487,572,530
0.488,572,530
0.489,572,530
0.49,572,530
0.491,572,530
0.492,572,530
0.493,572,530
0.494,572,530
0.495,572,530
0.496,572,530
0.497,572,530
0.498,572,530
0.499,572,530
0.5,572,530
0.501,572,530
0.502,572,530
0.503,572,530
0.504,571,530
0.505,571,531
0.506,571,533
0.507,571,535
0.508,571,536
0.509,570,538
0.51,570,540
0.511,570,542
0.512,570,543
0.513,570,545
0.514,570,547
0.515,570,547
0.516,570,547
0.517,570,547
0.518,570,547
0.519,570,547
0.52,570,547
0.521,570,547
0.522,571,547
0.523,571,547
0.524,571,547
0.525,571,547
0.526,571,547
0.527,571,547
0.528,571,547
0.529,571,547
0.53,572,548
0.531,572,548
0.532,572,548
0.533,572,548
0.534,572,548
0.535,572,548
0.536,572,548
0.537,572,548
0.538,573,548
0.539,573,548
0.54,573,548
0.541,573,548
0.542,573,548
0.543,573,548
0.544,573,548
0.545,573,548
0.546,573,557
0.547,573,557
0.548,573,557
0.549,573,556
0.55,573,556
0.551,573,556
0.552,573,555
0.553,573,555
0.554,573,554
0.555,573,554
0.556,573,554
0.557,573,553
0.558,572,553
0.559,572,553
0.56,572,552
0.561,572,552
0.562,572,551
0.563,572,551
0.564,572,551
0.565,572,550
0.566,572,550
0.567,572,550
0.568,572,549
0.569,572,549
0.57,571,548
0.571,571,548
0.572,571,548
0.573,571,548
0.574,571,548
0.575,571,548
0.576,571,548
0.577,571,548
0.578,570,547
0.579,570,547
0.58,570,547
0.581,570,547
0.582,570,547
0.583,570,547
0.584,570,547
0.585,569,546
0.586,569,546
0.587,569,546
0.588,569,546
0.589,569,546
0.59,569,546
0.591,569,546
0.592,569,546
0.593,569,544
0.594,569,543
0.595,569,542
0.596,570,541
0.597,570,540
0.598,570,539
0.599,571,538
0.6,571,537
0.601,571,535
0.602,584,545
0.603,584,545
0.604,584,546
0.605,584,546
0.606,583,547
0.607,583,548
0.608,583,548
0.609,583,549
0.61,582,550
0.611,582,550
0.612,582,551
0.613,582,551
0.614,581,552
0.615,581,553
0.616,581,553
0.617,581,554
0.618,580,555
0.619,580,555
0.62,580,556
0.621,580,556
0.622,579,557
0.623,579,558
0.624,579,558
0.625,579,559
0.626,578,559
0.627,578,557
0.628,577,556
0.629,577,554
0.63,576,552
0.631,576,550
0.632,575,549
0.633,575,547
0.634,574,545
0.635,574,543
0.636,573,542
0.637,573,540
0.638,572,538
0.639,572,536
0.64,571,535
0.641,571,533
0.642,571,532
0.643,571,532
0.644,571,532
0.645,571,533
