time,distance0,distance1
0.001,223,1000
0.002,223,1000
0.003,223,1000
0.004,223,1000
0.005,223,1000
0.006,223,1000
0.007,223,1000
0.008,223,1000
0.009,223,1000
0.01,223,1000
0.011,223,1000
0.012,223,1000
0.013,223,1000
0.014,223,1000
0.015,223,1000
0.016,223,1000
0.017,223,1000
0.018,223,1000
0.019,223,1000
0.02,223,1000
0.021,223,1000
0.022,223,1000
0.023,223,1000
0.024,223,1000
0.025,223,1000
0.026,223,1000
0.027,223,1000
0.028,223,1000
0.029,223,1000
0.03,223,1000
0.031,223,1000
0.032,223,1000
0.033,223,1000
0.034,223,1000
0.035,223,1000
0.036,223,1000
0.037,223,1000
0.038,223,1000
0.039,223,1000
0.04,223,1000
0.041,223,1000
0.042,223,1000
0.043,223,1000
0.044,223,1000
0.045,223,1000
0.046,223,1000
0.047,223,1000
0.048,223,1000
0.049,223,1000
0.05,223,1000
0.051,223,1000
0.052,223,1000
0.053,223,1000
0.054,223,1000
0.055,223,1000
0.056,223,1000
0.057,223,1000
0.058,223,1000
0.059,223,1000
0.06,223,1000
0.061,223,1000
0.062,223,1000
0.063,223,1000
0.064,223,1000
0.065,223,1000
0.066,223,1000
0.067,223,1000
0.068,223,1000
0.069,223,1000
0.07,223,1000
0.071,223,1000
0.072,223,1000
0.073,223,1000
0.074,223,1000
0.075,223,1000
0.076,223,1000
0.077,223,1000
0.078,223,1000
0.079,223,1000
0.08,223,1000
0.081,223,1000
0.082,223,1000
0.083,223,1000
0.084,223,1000
0.085,223,1000
0.086,223,1000
0.087,223,1000
0.088,223,1000
0.089,223,1000
0.09,223,1000
0.091,223,1000
0.092,223,1000
0.093,223,1000
0.094,223,1000
0.095,223,1000
0.096,223,1000
0.097,223,1000
0.098,223,1000
0.099,223,1000
0.1,223,1000
0.101,223,1000
0.102,223,1000
0.103,223,1000
0.104,223,1000
0.105,223,1000
0.106,223,1000
0.107,223,1000
0.108,223,1000
0.109,223,1000
0.11,223,1000
0.111,223,1000
0.112,223,1000
0.113,223,1000
0.114,223,1000
0.115,223,1000
0.116,223,1000
0.117,223,1000
0.118,223,1000
0.119,223,1000
0.12,223,1000
0.121,223,1000
0.122,223,1000
0.123,223,1000
0.124,223,1000
0.125,223,1000
0.126,223,1000
0.127,223,1000
0.128,223,1000
0.129,223,1000
0.13,223,1000
0.131,223,1000
0.132,223,1000
0.133,223,1000
0.134,223,1000
0.135,223,1000
0.136,223,1000
0.137,223,1000
0.138,223,1000
0.139,223,1000
0.14,223,1000
0.141,223,1000
0.142,223,1000
0.143,223,1000
0.144,223,1000
0.145,223,1000
0.146,223,1000
0.147,223,1000
0.148,223,1000
0.149,223,1000
0.15,223,1000
0.151,223,1000
0.152,223,1000
0.153,223,1000
0.154,223,1000
0.155,223,1000
0.156,223,1000
0.157,223,1000
0.158,223,1000
0.159,223,1000
0.16,223,1000
0.161,223,1000
0.162,223,1000
0.163,223,1000
0.164,223,1000
0.165,223,1000
0.166,223,1000
0.167,223,1000
0.168,223,1000
0.169,223,1000
0.17,223,1000
0.171,223,1000
0.172,223,1000
0.173,223,1000
0.174,223,1000
0.175,223,1000
0.176,223,1000
0.177,223,1000
0.178,223,1000
0.179,223,1000
0.18,223,1000
0.181,223,1000
0.182,223,1000
0.183,223,1000
0.184,223,1000
0.185,223,1000
0.186,223,1000
0.187,223,1000
0.188,223,1000
0.189,223,1000
0.19,223,1000
0.191,223,1000
0.192,223,1000
0.193,223,1000
0.194,223,1000
0.195,223,1000
0.196,223,1000
0.197,223,1000
0.198,223,1000
0.199,223,1000
0.2,223,1000
0.201,223,1000
0.202,223,1000
0.203,223,1000
0.204,223,1000
0.205,223,1000
0.206,223,1000
0.207,223,1000
0.208,223,1000
0.209,223,1000
0.21,223,1000
0.211,223,1000
0.212,223,1000
0.213,223,1000
0.214,223,1000
0.215,223,1000
0.216,223,1000
0.217,223,1000
0.218,223,1000
0.219,223,1000
0.22,223,1000
