time,distance0,distance1
0.001,402,519
0.002,402,519
0.003,402,519
0.004,402,519
0.005,402,519
0.006,402,519
0.007,402,519
0.008,402,519
0.009,402,519
0.01,402,519
0.011,402,519
0.012,402,519
0.013,402,519
0.014,402,519
0.015,402,519
0.016,402,519
0.017,402,519
0.018,402,519
0.019,402,519
0.02,402,519
0.021,402,519
0.022,402,519
0.023,402,519
0.024,402,519
0.025,402,519
0.026,402,519
0.027,402,519
0.028,402,519
0.029,402,519
0.03,402,519
0.031,402,519
0.032,402,519
0.033,402,519
0.034,402,519
0.035,402,519
0.036,402,519
0.037,402,519
0.038,402,519
0.039,402,519
0.04,402,519
0.041,402,519
0.042,402,519
0.043,402,519
0.044,402,519
0.045,402,519
0.046,402,519
0.047,402,519
0.048,402,519
0.049,402,519
0.05,402,519
0.051,402,519
0.052,402,519
0.053,402,519
0.054,402,519
0.055,402,519
0.056,402,519
0.057,402,519
0.058,402,519
0.059,402,519
0.06,402,519
0.061,402,519
0.062,402,519
0.063,402,519
0.064,402,519
0.065,402,519
0.066,402,519
0.067,402,519
0.068,402,519
0.069,402,519
0.07,402,519
0.071,402,519
0.072,402,519
0.073,402,519
0.074,402,519
0.075,402,519
0.076,402,519
0.077,402,519
0.078,402,519
0.079,402,519
0.08,402,519
0.081,402,519
0.082,402,519
0.083,402,519
0.084,402,519
0.085,402,519
0.086,402,519
0.087,402,519
0.088,402,519
0.089,402,519
0.09,402,519
0.091,402,519
0.092,402,519
0.093,402,519
0.094,402,519
0.095,402,519
0.096,402,519
0.097,402,519
0.098,402,519
0.099,402,519
0.1,402,519
0.101,402,519
0.102,402,519
0.103,402,519
0.104,402,519
0.105,402,519
0.106,402,519
0.107,402,519
0.108,402,519
0.109,402,519
0.11,402,519
0.111,402,519
0.112,402,519
0.113,402,519
0.114,402,519
0.115,402,519
0.116,402,519
0.117,402,519
0.118,402,519
0.119,402,519
0.12,402,519
0.121,402,519
0.122,402,519
0.123,402,519
0.124,402,519
0.125,402,519
0.126,402,519
0.127,402,519
0.128,402,519
0.129,402,519
0.13,402,519
0.131,402,519
0.132,402,519
0.133,402,519
0.134,402,519
0.135,402,519
0.136,402,519
0.137,402,519
0.138,402,519
0.139,402,519
0.14,402,519
0.141,402,519
0.142,402,519
0.143,402,519
0.144,402,519
0.145,402,519
0.146,402,519
0.147,402,519
0.148,402,519
0.149,402,519
0.15,402,519
0.151,402,519
0.152,402,519
0.153,402,519
0.154,402,519
0.155,402,519
0.156,402,519
0.157,402,519
0.158,402,519
0.159,402,519
0.16,402,519
0.161,402,519
0.162,402,519
0.163,402,519
0.164,402,519
0.165,402,519
0.166,402,519
0.167,402,519
0.168,402,519
0.169,402,519
0.17,402,519
0.171,402,519
0.172,402,519
0.173,402,519
0.174,402,519
0.175,402,519
0.176,402,519
0.177,402,519
0.178,402,519
0.179,402,519
0.18,402,519
0.181,402,519
0.182,402,519
0.183,402,519
0.184,402,519
0.185,402,519
0.186,402,519
0.187,402,519
0.188,402,519
0.189,402,519
0.19,402,519
0.191,402,519
0.192,402,519
0.193,402,519
0.194,402,519
0.195,402,519
0.196,402,519
0.197,402,519
0.198,402,519
0.199,402,519
0.2,402,519
0.201,402,519
0.202,402,519
0.203,402,519
0.204,402,519
0.205,402,519
0.206,402,519
0.207,402,519
0.208,402,519
0.209,402,519
0.21,402,519
0.211,402,519
0.212,402,519
0.213,402,519
0.214,402,519
0.215,402,519
0.216,402,519
0.217,402,519
0.218,402,519
0.219,402,519
0.22,402,519
0.221,402,519
0.222,402,519
0.223,402,519
0.224,402,519
0.225,402,519
0.226,402,519
0.227,402,519
0.228,402,519
0.229,402,519
0.23,402,519
0.231,402,519
0.232,402,519
0.233,402,519
0.234,402,519
0.235,402,519
0.236,402,519
0.237,402,519
0.238,402,519
0.239,402,519
0.24,402,519
0.241,402,519
0.242,402,519
0.243,402,519
0.244,402,519
0.245,402,519
0.246,402,519
0.247,402,519
0.248,402,519
0.249,402,519
0.25,402,519
0.251,402,519
0.252,402,519
0.253,402,519
0.254,402,519
0.255,402,519
0.256,402,519
0.257,402,519
0.258,402,519
0.259,402,519
0.26,402,519
0.261,402,519
0.262,402,519
0.263,402,519
0.264,402,519
0.265,402,519
0.266,402,519
0.267,402,519
0.268,402,519
0.269,402,519
0.27,402,519
0.271,402,519
0.272,402,519
0.273,402,519
0.274,402,519
0.275,402,519
0.276,402,519
0.277,402,519
0.278,402,519
0.279,402,519
0.28,402,519
0.281,402,519
0.282,402,519
0.283,402,519
0.284,402,519
0.285,402,519
0.286,402,519
0.287,402,519
0.288,402,519
0.289,402,519
0.29,402,519
0.291,402,519
0.292,402,519
0.293,402,519
0.294,402,519
0.295,402,519
0.296,402,519
0.297,402,519
0.298,402,519
0.299,402,519
0.3,402,519
0.301,402,519
0.302,402,519
0.303,402,519
0.304,402,519
0.305,402,519
0.306,402,519
0.307,402,519
0.308,402,519
0.309,402,519
0.31,402,519
0.311,402,519
0.312,402,519
0.313,402,519
0.314,402,519
0.315,402,519
0.316,402,519
0.317,402,519
0.318,402,519
0.319,402,519
0.32,402,519
0.321,402,519
0.322,402,519
0.323,402,519
0.324,402,519
0.325,402,519
0.326,402,519
0.327,402,519
0.328,402,519
0.329,402,519
0.33,402,519
0.331,402,519
0.332,402,519
0.333,402,519
0.334,402,519
0.335,402,519
0.336,402,519
0.337,402,519
0.338,402,519
0.339,402,519
0.34,402,519
0.341,402,519
0.342,402,519
0.343,402,519
0.344,402,519
0.345,402,519
0.346,402,519
0.347,402,519
0.348,402,519
0.349,402,519
0.35,402,519
0.351,402,519
0.352,402,519
0.353,402,519
0.354,402,519
0.355,402,519
0.356,402,519
0.357,402,519
0.358,402,519
0.359,402,519
0.36,402,519
0.361,402,519
0.362,402,519
0.363,402,519
0.364,402,519
0.365,402,519
0.366,402,519
0.367,402,519
0.368,402,519
0.369,402,519
0.37,402,519
0.371,402,519
0.372,402,519
0.373,402,519
0.374,402,519
0.375,402,519
0.376,402,519
0.377,402,519
0.378,402,519
0.379,402,519
0.38,402,519
0.381,402,519
0.382,402,519
0.383,402,519
0.384,402,519
0.385,402,519
0.386,402,519
0.387,402,519
0.388,402,519
0.389,402,519
0.39,402,519
0.391,402,519
0.392,402,519
0.393,402,519
0.394,402,519
0.395,402,519
0.396,402,519
0.397,402,519
0.398,402,519
0.399,402,519
0.4,402,519
0.401,402,519
0.402,402,519
0.403,402,519
0.404,402,519
0.405,402,519
0.406,402,519
0.407,402,519
0.408,402,519
0.409,402,519
0.41,402,519
0.411,402,519
0.412,402,519
0.413,402,519
0.414,402,519
0.415,402,519
0.416,402,519
0.417,402,519
0.418,402,519
0.419,402,519
0.42,402,519
0.421,402,519
0.422,402,519
0.423,402,519
0.424,402,519
0.425,402,519
0.426,402,519
0.427,402,519
0.428,402,519
0.429,402,519
0.43,402,519
0.431,402,519
0.432,402,519
0.433,402,519
0.434,402,519
0.435,402,519
0.436,402,519
0.437,402,519
0.438,402,519
0.439,402,519
0.44,402,519
0.441,402,519
0.442,402,519
0.443,402,519
0.444,402,519
0.445,402,519
0.446,402,519
0.447,402,519
0.448,402,519
0.449,402,519
0.45,402,519
0.451,402,519
0.452,402,519
0.453,402,519
0.454,402,519
0.455,402,519
0.456,402,519
0.457,402,519
0.458,402,519
0.459,402,519
0.46,402,519
0.461,402,519
0.462,402,519
0.463,402,519
0.464,402,519
0.465,402,519
0.466,402,519
0.467,402,519
0.468,402,519
0.469,402,519
0.47,402,519
0.471,402,519
0.472,402,519
0.473,402,519
0.474,402,519
0.475,402,519
0.476,402,519
0.477,402,519
0.478,402,519
0.479,402,519
0.48,402,519
0.481,402,519
0.482,402,519
0.483,402,519
0.484,402,519
0.485,402,519
0.486,402,519
0.487,402,519
0.488,402,519
0.489,402,519
0.49,402,519
0.491,402,519
0.492,402,519
0.493,402,519
0.494,402,519
0.495,402,519
0.496,402,519
0.497,402,519
0.498,402,519
0.499,402,519
0.5,402,519
0.501,402,519
0.502,402,519
0.503,402,519
0.504,401,518
0.505,398,509
0.506,394,500
0.507,391,491
0.508,387,482
0.509,384,473
0.51,380,464
0.511,377,455
0.512,373,445
0.513,370,436
0.514,367,428
0.515,368,428
0.516,370,428
0.517,371,428
0.518,373,428
0.519,374,428
0.52,376,427
0.521,377,427
0.522,379,427
0.523,380,427
0.524,382,427
0.525,383,426
0.526,385,426
0.527,386,426
0.528,388,426
0.529,389,426
0.53,390,426
0.531,390,426
0.532,389,426
0.533,389,426
0.534,388,426
0.535,388,426
0.536,387,426
0.537,386,426
0.538,386,426
0.539,385,426
0.54,385,426
0.541,384,426
0.542,384,426
0.543,383,426
0.544,383,426
0.545,382,426
0.546,365,424
0.547,365,424
0.548,365,424
