time,distance0,distance1
0.001,380,1000
0.002,380,1000
0.003,380,1000
0.004,380,1000
0.005,380,1000
0.006,380,1000
0.007,380,1000
0.008,380,1000
0.009,380,1000
0.01,380,1000
0.011,380,1000
0.012,380,1000
0.013,380,1000
0.014,380,1000
0.015,380,1000
0.016,380,1000
0.017,380,1000
0.018,380,1000
0.019,380,1000
0.02,380,1000
0.021,380,1000
0.022,380,1000
0.023,380,1000
0.024,380,1000
0.025,380,1000
0.026,380,1000
0.027,380,1000
0.028,380,1000
0.029,380,1000
0.03,380,1000
0.031,380,1000
0.032,380,1000
0.033,380,1000
0.034,380,1000
0.035,380,1000
0.036,380,1000
0.037,380,1000
0.038,380,1000
0.039,380,1000
0.04,380,1000
0.041,380,1000
0.042,380,1000
0.043,380,1000
0.044,380,1000
0.045,380,1000
0.046,380,1000
0.047,380,1000
0.048,380,1000
0.049,380,1000
0.05,380,1000
0.051,380,1000
0.052,380,1000
0.053,380,1000
0.054,380,1000
0.055,380,1000
0.056,380,1000
0.057,380,1000
0.058,380,1000
0.059,380,1000
0.06,380,1000
0.061,380,1000
0.062,380,1000
0.063,380,1000
0.064,380,1000
0.065,380,1000
0.066,380,1000
0.067,380,1000
0.068,380,1000
0.069,380,1000
0.07,380,1000
0.071,380,1000
0.072,380,1000
0.073,380,1000
0.074,380,1000
0.075,380,1000
0.076,380,1000
0.077,380,1000
0.078,380,1000
0.079,380,1000
0.08,380,1000
0.081,380,1000
0.082,380,1000
0.083,379,1000
0.084,379,1000
0.085,379,1000
0.086,379,1000
0.087,379,1000
0.088,379,1000
0.089,379,1000
0.09,379,1000
0.091,379,1000
0.092,379,1000
0.093,379,1000
0.094,379,1000
0.095,379,1000
0.096,379,1000
0.097,379,1000
0.098,379,1000
0.099,379,1000
0.1,379,1000
0.101,379,1000
0.102,379,1000
0.103,379,1000
0.104,379,1000
0.105,379,1000
0.106,379,1000
0.107,379,1000
0.108,379,1000
0.109,379,1000
0.11,379,1000
0.111,379,1000
0.112,379,1000
0.113,379,1000
0.114,379,1000
0.115,379,1000
0.116,379,1000
0.117,379,1000
0.118,379,1000
0.119,379,1000
0.12,379,1000
0.121,379,1000
0.122,379,1000
0.123,379,1000
0.124,379,1000
0.125,379,1000
0.126,379,1000
