time,distance0,distance1
0.001,567,538
0.002,567,538
0.003,567,538
0.004,567,538
0.005,567,538
0.006,567,538
0.007,567,538
0.008,567,538
0.009,567,538
0.01,567,538
0.011,567,538
0.012,567,538
0.013,567,538
0.014,567,538
0.015,567,538
0.016,567,538
0.017,567,538
0.018,567,538
0.019,567,538
0.02,567,538
0.021,567,538
0.022,567,538
0.023,567,538
0.024,567,538
0.025,567,538
0.026,567,538
0.027,567,538
0.028,567,538
0.029,567,538
0.03,567,538
0.031,567,538
0.032,567,538
0.033,567,538
0.034,567,538
0.035,567,538
0.036,567,538
0.037,567,538
0.038,567,538
0.039,567,538
0.04,567,538
0.041,567,538
0.042,567,538
0.043,567,538
0.044,567,538
0.045,567,538
0.046,567,538
0.047,567,538
0.048,567,538
0.049,567,538
0.05,567,538
0.051,567,538
0.052,567,538
0.053,567,538
0.054,567,538
0.055,567,538
0.056,567,538
0.057,567,538
0.058,567,538
0.059,567,538
0.06,567,538
0.061,567,538
0.062,567,538
0.063,567,538
0.064,567,538
0.065,567,538
0.066,567,538
0.067,567,538
0.068,567,538
0.069,567,538
0.07,567,538
0.071,567,538
0.072,567,538
0.073,567,538
0.074,567,538
0.075,567,538
0.076,567,538
0.077,567,538
0.078,567,538
0.079,567,538
0.08,567,538
0.081,567,538
0.082,567,538
0.083,567,538
0.084,567,538
0.085,567,538
0.086,567,538
0.087,567,538
0.088,567,538
0.089,567,538
0.09,567,538
0.091,567,538
0.092,567,538
0.093,567,538
0.094,567,538
0.095,567,538
0.096,567,538
0.097,567,538
0.098,567,538
0.099,567,538
0.1,567,538
0.101,567,538
0.102,567,538
0.103,567,538
0.104,567,538
0.105,567,538
0.106,567,538
0.107,567,538
0.108,567,538
0.109,567,538
0.11,567,538
0.111,567,538
0.112,567,538
0.113,567,538
0.114,567,538
0.115,567,538
0.116,567,538
0.117,567,538
0.118,567,538
0.119,567,538
0.12,567,538
0.121,567,538
0.122,567,538
0.123,567,538
0.124,567,538
0.125,567,538
0.126,567,538
0.127,567,538
0.128,567,538
0.129,567,538
0.13,567,538
0.131,567,538
0.132,567,538
0.133,567,538
0.134,567,538
0.135,567,538
0.136,567,538
0.137,567,538
0.138,567,538
0.139,567,538
0.14,567,538
0.141,567,538
0.142,567,538
0.143,567,538
0.144,567,538
0.145,567,538
0.146,567,538
0.147,567,538
0.148,567,538
0.149,567,538
0.15,567,538
0.151,567,538
0.152,567,538
0.153,567,538
0.154,567,538
0.155,567,538
0.156,567,538
0.157,567,538
0.158,567,538
0.159,567,538
0.16,567,538
0.161,567,538
0.162,567,538
0.163,567,538
0.164,567,538
0.165,567,538
0.166,567,538
0.167,567,538
0.168,567,538
0.169,567,538
0.17,567,538
0.171,567,538
0.172,567,538
0.173,567,538
0.174,567,538
0.175,567,538
0.176,567,538
0.177,567,538
0.178,567,538
0.179,567,538
0.18,567,538
0.181,567,538
0.182,567,538
0.183,567,538
0.184,567,538
0.185,567,538
0.186,567,538
0.187,567,538
0.188,567,538
0.189,567,538
0.19,567,538
0.191,567,538
0.192,567,538
0.193,567,538
0.194,567,538
0.195,567,538
0.196,567,538
0.197,567,538
0.198,567,538
0.199,567,538
0.2,567,538
0.201,567,538
0.202,567,538
0.203,567,538
0.204,567,538
0.205,567,538
0.206,567,538
0.207,567,538
0.208,567,538
0.209,567,538
0.21,567,538
0.211,567,538
0.212,567,538
0.213,567,538
0.214,567,538
0.215,567,538
0.216,567,538
0.217,567,538
0.218,567,538
0.219,567,538
0.22,567,538
0.221,567,538
0.222,567,538
0.223,567,538
0.224,567,538
0.225,567,538
0.226,567,538
0.227,567,538
0.228,567,538
0.229,567,538
0.23,567,538
0.231,567,538
0.232,567,538
0.233,567,538
0.234,567,538
0.235,567,538
0.236,567,538
0.237,567,538
0.238,567,538
0.239,567,538
0.24,567,538
0.241,567,538
0.242,567,538
0.243,567,538
0.244,567,538
0.245,567,538
0.246,567,538
0.247,567,538
0.248,567,538
0.249,567,538
0.25,567,538
0.251,567,538
0.252,567,538
0.253,567,538
0.254,567,538
0.255,567,538
0.256,567,538
0.257,567,538
0.258,567,538
0.259,567,538
0.26,567,538
0.261,567,538
0.262,567,538
0.263,567,538
0.264,567,538
0.265,567,538
0.266,567,538
0.267,567,538
0.268,567,538
0.269,567,538
0.27,567,538
0.271,567,538
0.272,567,538
0.273,567,538
0.274,567,538
0.275,567,538
0.276,567,538
0.277,567,538
0.278,567,538
0.279,567,538
0.28,567,538
0.281,567,538
0.282,567,538
0.283,567,538
0.284,567,538
0.285,567,538
0.286,567,538
0.287,567,538
0.288,567,538
0.289,567,538
0.29,567,538
0.291,567,538
0.292,567,538
0.293,567,538
0.294,567,538
0.295,567,538
0.296,567,538
0.297,567,538
0.298,567,538
0.299,567,538
0.3,567,538
0.301,567,538
0.302,567,538
0.303,567,538
0.304,567,538
0.305,567,538
0.306,567,538
0.307,567,538
0.308,567,538
0.309,567,538
0.31,567,538
0.311,567,538
0.312,567,538
0.313,567,538
0.314,567,538
0.315,567,538
0.316,567,538
0.317,567,538
0.318,567,538
0.319,567,538
0.32,567,538
0.321,567,538
0.322,567,538
0.323,567,538
0.324,567,538
0.325,567,538
0.326,567,538
0.327,567,538
0.328,567,538
0.329,567,538
0.33,567,538
0.331,567,538
0.332,567,538
0.333,567,538
0.334,567,538
0.335,567,538
0.336,567,538
0.337,567,538
0.338,567,538
0.339,567,538
0.34,567,538
0.341,567,538
0.342,567,538
0.343,567,538
0.344,567,538
0.345,567,538
0.346,567,538
0.347,567,538
0.348,567,538
0.349,567,538
0.35,567,538
0.351,567,538
0.352,567,538
0.353,567,538
0.354,567,538
0.355,567,538
0.356,567,538
0.357,567,538
0.358,567,538
0.359,567,538
0.36,567,538
0.361,567,538
0.362,567,538
0.363,567,538
0.364,567,538
0.365,567,538
0.366,567,538
0.367,567,538
0.368,567,538
0.369,567,538
0.37,567,538
0.371,567,538
0.372,567,538
0.373,567,538
0.374,567,538
0.375,567,538
0.376,567,538
0.377,567,538
0.378,567,538
0.379,567,538
0.38,567,538
0.381,567,538
0.382,567,538
0.383,567,538
0.384,567,538
0.385,567,538
0.386,567,538
0.387,567,538
0.388,567,538
0.389,567,538
0.39,567,538
0.391,567,538
0.392,567,538
0.393,567,538
0.394,567,538
0.395,567,538
0.396,567,538
0.397,567,538
0.398,567,538
0.399,567,538
0.4,567,538
0.401,567,538
0.402,567,538
0.403,567,538
0.404,567,538
0.405,567,538
0.406,567,538
0.407,567,538
0.408,567,538
0.409,567,538
0.41,567,538
0.411,567,538
0.412,567,538
0.413,567,538
0.414,567,538
0.415,567,538
0.416,567,538
0.417,567,538
0.418,567,538
0.419,567,538
0.42,567,538
0.421,567,538
0.422,567,538
0.423,567,538
0.424,567,538
0.425,567,538
0.426,567,538
0.427,567,538
0.428,567,538
0.429,567,538
0.43,567,538
0.431,567,538
0.432,567,538
0.433,567,538
0.434,567,538
0.435,567,538
0.436,567,538
0.437,567,538
0.438,567,538
0.439,567,538
0.44,567,538
0.441,567,538
0.442,567,538
0.443,567,538
0.444,567,538
0.445,567,538
0.446,567,538
0.447,567,538
0.448,567,538
0.449,567,538
0.45,567,538
0.451,567,538
0.452,567,538
0.453,567,538
0.454,567,538
0.455,567,538
0.456,567,538
0.457,567,538
0.458,567,538
0.459,567,538
0.46,567,538
0.461,567,538
0.462,567,538
0.463,567,538
0.464,567,538
0.465,567,538
0.466,567,538
0.467,567,538
0.468,567,538
0.469,567,538
0.47,567,538
0.471,567,538
0.472,567,538
0.473,567,538
0.474,567,538
0.475,567,538
0.476,567,538
0.477,567,538
0.478,567,538
0.479,567,538
0.48,567,538
0.481,567,538
0.482,567,538
0.483,567,538
0.484,567,538
0.485,567,538
0.486,567,538
0.487,567,538
0.488,567,538
0.489,567,538
0.49,567,538
0.491,567,538
0.492,567,538
0.493,567,538
0.494,567,538
0.495,567,538
0.496,567,538
0.497,567,538
0.498,567,538
0.499,567,538
0.5,567,538
0.501,567,538
0.502,567,538
0.503,567,538
0.504,567,538
0.505,567,538
0.506,567,538
0.507,567,538
0.508,567,538
0.509,567,538
0.51,567,538
0.511,567,538
0.512,567,538
0.513,567,538
0.514,567,538
0.515,567,538
0.516,567,538
0.517,567,538
0.518,567,538
0.519,567,538
0.52,567,538
0.521,567,538
0.522,567,538
0.523,567,538
0.524,567,538
0.525,567,538
0.526,567,538
0.527,567,538
0.528,567,538
0.529,567,538
0.53,567,538
0.531,567,538
0.532,567,538
0.533,567,538
0.534,567,538
0.535,567,538
0.536,567,538
0.537,567,538
0.538,567,538
0.539,567,538
0.54,567,538
0.541,567,538
0.542,567,538
0.543,567,538
0.544,567,538
0.545,567,538
0.546,567,538
0.547,567,538
0.548,567,538
0.549,567,538
0.55,567,538
0.551,567,538
0.552,567,538
0.553,567,538
0.554,567,538
0.555,567,538
0.556,567,538
0.557,567,538
0.558,567,538
0.559,567,538
0.56,567,538
0.561,567,538
0.562,567,538
0.563,567,538
0.564,567,538
0.565,567,538
0.566,567,538
0.567,567,538
0.568,567,538
0.569,567,538
0.57,567,538
0.571,567,538
0.572,567,538
0.573,567,538
0.574,567,538
0.575,567,538
0.576,567,538
0.577,567,538
0.578,567,538
0.579,567,538
0.58,567,538
0.581,567,538
0.582,567,538
0.583,567,538
0.584,567,538
0.585,567,538
0.586,567,538
0.587,567,538
0.588,567,538
0.589,567,538
0.59,567,538
0.591,567,538
0.592,567,538
0.593,567,538
0.594,567,538
0.595,567,538
0.596,567,538
0.597,567,538
0.598,567,538
0.599,567,538
0.6,567,538
0.601,567,538
0.602,567,538
0.603,567,538
0.604,567,538
0.605,567,538
0.606,567,538
0.607,567,538
0.608,567,538
0.609,567,538
0.61,567,538
0.611,567,538
0.612,567,538
0.613,567,538
0.614,567,538
0.615,567,538
0.616,567,538
0.617,567,538
0.618,567,538
0.619,567,538
0.62,567,538
0.621,567,538
0.622,567,538
0.623,567,538
0.624,567,538
0.625,567,538
0.626,567,538
0.627,567,538
0.628,567,538
0.629,567,538
0.63,567,538
0.631,567,538
0.632,567,538
0.633,567,538
0.634,567,538
0.635,567,538
0.636,567,538
0.637,567,538
0.638,567,538
0.639,567,538
0.64,567,538
0.641,567,538
0.642,567,538
0.643,567,538
0.644,567,538
0.645,567,538
0.646,567,538
0.647,567,538
0.648,567,538
0.649,567,538
0.65,567,538
0.651,567,538
0.652,567,538
0.653,567,538
0.654,567,538
0.655,567,538
0.656,567,538
0.657,567,538
0.658,567,538
0.659,567,538
0.66,567,538
0.661,567,538
0.662,567,538
0.663,567,538
0.664,567,538
0.665,567,538
0.666,567,538
0.667,567,538
0.668,567,538
0.669,567,538
0.67,567,538
0.671,567,538
0.672,567,538
0.673,567,538
0.674,567,538
0.675,567,538
0.676,567,538
0.677,567,538
0.678,567,538
0.679,567,538
0.68,567,538
0.681,567,538
0.682,567,538
0.683,567,538
0.684,567,538
0.685,567,538
0.686,567,538
0.687,567,538
0.688,567,538
0.689,567,538
0.69,567,538
0.691,567,538
0.692,567,538
0.693,567,538
0.694,567,538
0.695,567,538
0.696,567,538
0.697,567,538
0.698,567,538
0.699,567,538
0.7,567,538
0.701,567,538
0.702,567,538
0.703,567,538
0.704,567,538
0.705,567,538
0.706,567,538
0.707,567,538
0.708,567,538
0.709,567,538
0.71,567,538
0.711,567,538
0.712,567,538
0.713,567,538
0.714,567,538
0.715,567,538
0.716,567,538
0.717,567,538
0.718,567,538
0.719,567,538
0.72,567,538
0.721,567,538
0.722,567,538
0.723,567,538
0.724,567,538
0.725,567,538
0.726,567,538
0.727,567,538
0.728,567,538
0.729,567,538
0.73,567,538
0.731,567,538
0.732,567,538
0.733,567,538
0.734,567,538
0.735,567,538
0.736,567,538
0.737,567,538
0.738,567,538
0.739,567,538
0.74,567,538
0.741,567,538
0.742,567,538
0.743,567,538
0.744,567,538
0.745,567,538
0.746,567,538
0.747,567,538
0.748,567,538
0.749,567,538
0.75,567,538
0.751,567,538
0.752,567,538
0.753,567,538
0.754,567,538
0.755,567,538
0.756,567,538
0.757,567,538
0.758,567,538
0.759,567,538
0.76,567,538
0.761,567,538
0.762,567,538
0.763,567,538
0.764,567,538
0.765,567,538
0.766,567,538
0.767,567,538
0.768,567,538
0.769,567,538
0.77,567,538
0.771,567,538
0.772,567,538
0.773,567,538
0.774,567,538
0.775,567,538
0.776,567,538
0.777,567,538
0.778,567,538
0.779,567,538
0.78,567,538
0.781,567,538
0.782,567,538
0.783,567,538
0.784,567,538
0.785,567,538
0.786,567,538
0.787,567,538
0.788,567,538
0.789,567,538
0.79,567,538
0.791,567,538
0.792,567,538
0.793,567,538
0.794,567,538
0.795,567,538
0.796,567,538
0.797,567,538
0.798,567,538
0.799,567,538
0.8,567,538
0.801,567,538
0.802,567,538
0.803,567,538
0.804,567,538
0.805,567,538
0.806,567,538
0.807,567,538
0.808,567,538
0.809,567,538
0.81,567,538
0.811,567,538
0.812,567,538
0.813,567,538
0.814,567,538
0.815,567,538
0.816,567,538
0.817,567,538
0.818,567,538
0.819,567,538
0.82,567,538
0.821,567,538
0.822,567,538
0.823,567,538
0.824,567,538
0.825,567,538
0.826,567,538
0.827,567,538
0.828,567,538
0.829,567,538
0.83,567,538
0.831,567,538
0.832,567,538
0.833,567,538
0.834,567,538
0.835,567,538
0.836,567,538
0.837,567,538
0.838,567,538
0.839,567,538
0.84,567,538
0.841,567,538
0.842,567,538
0.843,567,538
0.844,567,538
0.845,567,538
0.846,567,538
0.847,567,538
0.848,567,538
0.849,567,538
0.85,567,538
0.851,567,538
0.852,567,538
0.853,567,538
0.854,567,538
0.855,567,538
0.856,567,538
0.857,567,538
0.858,567,538
0.859,567,538
0.86,567,538
0.861,567,538
0.862,567,538
0.863,567,538
0.864,567,538
0.865,567,538
0.866,567,538
0.867,567,538
0.868,567,538
0.869,567,538
0.87,567,538
0.871,567,538
0.872,567,538
0.873,567,538
0.874,567,538
0.875,567,538
0.876,567,538
0.877,567,538
0.878,567,538
0.879,567,538
0.88,567,538
0.881,567,538
0.882,567,538
0.883,567,538
0.884,567,538
0.885,567,538
0.886,567,538
0.887,567,538
0.888,567,538
0.889,567,538
0.89,567,538
0.891,567,538
0.892,567,538
0.893,567,538
0.894,567,538
0.895,567,538
0.896,567,538
0.897,567,538
0.898,567,538
0.899,567,538
0.9,567,538
0.901,567,538
0.902,567,538
0.903,567,538
0.904,567,538
0.905,567,538
0.906,567,538
0.907,567,538
0.908,567,538
0.909,567,538
0.91,567,538
0.911,567,538
0.912,567,538
0.913,567,538
0.914,567,538
0.915,567,538
0.916,567,538
0.917,567,538
0.918,567,538
0.919,567,538
0.92,567,538
0.921,567,538
0.922,567,538
0.923,567,538
0.924,567,538
0.925,567,538
0.926,567,538
0.927,567,538
0.928,567,538
0.929,567,538
0.93,567,538
0.931,567,538
0.932,567,538
0.933,567,538
0.934,567,538
0.935,567,538
0.936,567,538
0.937,567,538
0.938,567,538
0.939,567,538
0.94,567,538
0.941,567,538
0.942,567,538
0.943,567,538
0.944,567,538
0.945,567,538
0.946,567,538
0.947,567,538
0.948,567,538
0.949,567,538
0.95,567,538
0.951,567,538
0.952,567,538
0.953,567,538
0.954,567,538
0.955,567,538
0.956,567,538
0.957,567,538
0.958,567,538
0.959,567,538
0.96,567,538
0.961,567,538
0.962,567,538
0.963,567,538
0.964,567,538
0.965,567,538
0.966,567,538
0.967,567,538
0.968,567,538
0.969,567,538
0.97,567,538
0.971,567,538
0.972,567,538
0.973,567,538
0.974,567,538
0.975,567,538
0.976,567,538
0.977,567,538
0.978,567,538
0.979,567,538
0.98,567,538
0.981,567,538
0.982,567,538
0.983,567,538
0.984,567,538
0.985,567,538
0.986,567,538
0.987,567,538
0.988,567,538
0.989,567,538
0.99,567,538
0.991,567,538
0.992,567,538
0.993,567,538
0.994,567,538
0.995,567,538
0.996,567,538
0.997,567,538
0.998,567,538
0.999,567,538
1.0,567,538
1.001,567,538
1.002,567,538
1.003,567,538
1.004,567,538
1.005,567,538
1.006,567,538
1.007,567,538
1.008,567,538
1.009,567,538
1.01,567,538
1.011,567,538
1.012,567,538
1.013,567,538
1.014,567,538
1.015,567,538
1.016,567,538
1.017,567,538
1.018,567,538
1.019,567,538
1.02,567,538
1.021,567,538
1.022,567,538
1.023,567,538
1.024,567,538
1.025,567,538
1.026,567,538
1.027,567,538
1.028,567,538
1.029,567,538
1.03,567,538
1.031,567,538
1.032,567,538
1.033,567,538
1.034,567,538
1.035,567,538
1.036,567,538
1.037,567,538
1.038,567,538
1.039,567,538
1.04,567,538
1.041,567,538
1.042,567,538
1.043,567,538
1.044,567,538
1.045,567,538
1.046,567,538
1.047,567,538
1.048,567,538
1.049,567,538
1.05,567,538
1.051,567,538
1.052,567,538
1.053,567,538
1.054,567,538
1.055,567,538
1.056,567,538
1.057,567,538
1.058,567,538
1.059,567,538
1.06,567,538
1.061,567,538
1.062,567,538
1.063,567,538
1.064,567,538
1.065,567,538
1.066,567,538
1.067,567,538
1.068,567,538
1.069,567,538
1.07,567,538
1.071,567,538
1.072,567,538
1.073,567,538
1.074,567,538
1.075,567,538
1.076,567,538
1.077,567,538
1.078,567,538
1.079,567,538
1.08,567,538
1.081,567,538
1.082,567,538
1.083,567,538
1.084,567,538
1.085,567,538
1.086,567,538
1.087,567,538
1.088,567,538
1.089,567,538
1.09,567,538
1.091,567,538
1.092,567,538
1.093,567,538
1.094,567,538
1.095,567,538
1.096,567,538
1.097,567,538
1.098,567,538
1.099,567,538
1.1,567,538
1.101,567,538
1.102,567,538
1.103,567,538
1.104,567,538
1.105,567,538
1.106,567,538
1.107,567,538
1.108,567,538
1.109,567,538
