time,distance0,distance1
0.001,565,561
0.002,565,561
0.003,565,561
0.004,565,561
0.005,565,561
0.006,565,561
0.007,565,561
0.008,565,561
0.009,565,561
0.01,565,561
0.011,565,561
0.012,565,561
0.013,565,561
0.014,565,561
0.015,565,561
0.016,565,561
0.017,565,561
0.018,565,561
0.019,565,561
0.02,565,561
0.021,565,561
0.022,565,561
0.023,565,561
0.024,565,561
0.025,565,561
0.026,565,561
0.027,565,561
0.028,565,561
0.029,565,561
0.03,565,561
0.031,565,561
0.032,565,561
0.033,565,561
0.034,565,561
0.035,565,561
0.036,565,561
0.037,565,561
0.038,565,561
0.039,565,561
0.04,565,561
0.041,565,561
0.042,565,561
0.043,565,561
0.044,565,561
0.045,565,561
0.046,565,561
0.047,565,561
0.048,565,561
0.049,565,561
0.05,565,561
0.051,565,561
0.052,565,561
0.053,565,561
0.054,565,561
0.055,565,561
0.056,565,561
0.057,565,561
0.058,565,561
0.059,565,561
0.06,565,561
0.061,565,561
0.062,565,561
0.063,565,561
0.064,565,561
0.065,565,561
0.066,565,561
0.067,565,561
0.068,565,561
0.069,565,561
0.07,565,561
0.071,565,561
0.072,565,561
0.073,565,561
0.074,565,561
0.075,565,561
0.076,565,561
0.077,565,561
0.078,565,561
0.079,565,561
0.08,565,561
0.081,565,561
0.082,565,561
0.083,565,561
0.084,565,561
0.085,565,561
0.086,565,561
0.087,565,561
0.088,565,561
0.089,565,561
0.09,565,561
0.091,565,561
0.092,565,561
0.093,565,561
0.094,565,561
0.095,565,561
0.096,565,561
0.097,565,561
0.098,565,561
0.099,565,561
0.1,565,561
0.101,565,561
0.102,565,561
0.103,565,561
0.104,565,561
0.105,565,561
0.106,565,561
0.107,565,561
0.108,565,561
0.109,565,561
0.11,565,561
0.111,565,561
0.112,565,561
0.113,565,561
0.114,565,561
0.115,565,561
0.116,565,561
0.117,565,561
0.118,565,561
0.119,565,561
0.12,565,561
0.121,565,561
0.122,565,561
0.123,565,561
0.124,565,561
0.125,565,561
0.126,565,561
0.127,565,561
0.128,565,561
0.129,565,561
0.13,565,561
0.131,565,561
0.132,565,561
0.133,565,561
0.134,565,561
0.135,565,561
0.136,565,561
0.137,565,561
0.138,565,561
0.139,565,561
0.14,565,561
0.141,565,561
0.142,565,561
0.143,565,561
0.144,565,561
0.145,565,561
0.146,565,561
0.147,565,561
0.148,565,561
0.149,565,561
0.15,565,561
0.151,565,561
0.152,565,561
0.153,565,561
0.154,565,561
0.155,565,561
0.156,565,561
0.157,565,561
0.158,565,561
0.159,565,561
0.16,565,561
0.161,565,561
0.162,565,561
0.163,565,561
0.164,565,561
0.165,565,561
0.166,565,561
0.167,565,561
0.168,565,561
0.169,565,561
0.17,565,561
0.171,565,561
0.172,565,561
0.173,565,561
0.174,565,561
0.175,565,561
0.176,565,561
0.177,565,561
0.178,565,561
0.179,565,561
0.18,565,561
0.181,565,561
0.182,565,561
0.183,565,561
0.184,565,561
0.185,565,561
0.186,565,561
0.187,565,561
0.188,565,561
0.189,565,561
0.19,565,561
0.191,565,561
0.192,565,561
0.193,565,561
0.194,565,561
0.195,565,561
0.196,565,561
0.197,565,561
0.198,565,561
0.199,565,561
0.2,565,561
0.201,565,561
0.202,565,561
0.203,565,561
0.204,565,561
0.205,565,561
0.206,565,561
0.207,565,561
0.208,565,561
0.209,565,561
0.21,565,561
0.211,565,561
0.212,565,561
0.213,565,561
0.214,565,561
0.215,565,561
0.216,565,561
0.217,565,561
0.218,565,561
0.219,565,561
0.22,565,561
0.221,565,561
0.222,565,561
0.223,565,561
0.224,565,561
0.225,565,561
0.226,565,561
0.227,565,561
0.228,565,561
0.229,565,561
0.23,565,561
0.231,565,561
0.232,565,561
0.233,565,561
0.234,565,561
0.235,565,561
0.236,565,561
0.237,565,561
0.238,565,561
0.239,565,561
0.24,565,561
0.241,565,561
0.242,565,561
0.243,565,561
0.244,565,561
0.245,565,561
0.246,565,561
0.247,565,561
0.248,565,561
0.249,565,561
0.25,565,561
0.251,565,561
0.252,565,561
0.253,565,561
0.254,565,561
0.255,565,561
0.256,565,561
0.257,565,561
0.258,565,561
0.259,565,561
0.26,565,561
0.261,565,561
0.262,565,561
0.263,565,561
0.264,565,561
0.265,565,561
0.266,565,561
0.267,565,561
0.268,565,561
0.269,565,561
0.27,565,561
0.271,565,561
0.272,565,561
0.273,565,561
0.274,565,561
0.275,565,561
0.276,565,561
0.277,565,561
0.278,565,561
0.279,565,561
0.28,565,561
0.281,565,561
0.282,565,561
0.283,565,561
0.284,565,561
0.285,565,561
0.286,565,561
0.287,565,561
0.288,565,561
0.289,565,561
0.29,565,561
0.291,565,561
0.292,565,561
0.293,565,561
0.294,565,561
0.295,565,561
0.296,565,561
0.297,565,561
0.298,565,561
0.299,565,561
0.3,565,561
0.301,565,561
0.302,565,561
0.303,565,561
0.304,565,561
0.305,565,561
0.306,565,561
0.307,565,561
0.308,565,561
0.309,565,561
0.31,565,561
0.311,565,561
0.312,565,561
0.313,565,561
0.314,565,561
0.315,565,561
0.316,565,561
0.317,565,561
0.318,565,561
0.319,565,561
0.32,565,561
0.321,565,561
0.322,565,561
0.323,565,561
0.324,565,561
0.325,565,561
0.326,565,561
0.327,565,561
0.328,565,561
0.329,565,561
0.33,565,561
0.331,565,561
0.332,565,561
0.333,565,561
0.334,565,561
0.335,565,561
0.336,565,561
0.337,565,561
0.338,565,561
0.339,565,561
0.34,565,561
0.341,565,561
0.342,565,561
0.343,565,561
0.344,565,561
0.345,565,561
0.346,565,561
0.347,565,561
0.348,565,561
0.349,565,561
0.35,565,561
0.351,565,561
0.352,565,561
0.353,565,561
0.354,565,561
0.355,565,561
0.356,565,561
0.357,565,561
0.358,565,561
0.359,565,561
0.36,565,561
0.361,565,561
0.362,565,561
0.363,565,561
0.364,565,561
0.365,565,561
0.366,565,561
0.367,565,561
0.368,565,561
0.369,565,561
0.37,565,561
0.371,565,561
0.372,565,561
0.373,565,561
0.374,565,561
0.375,565,561
0.376,565,561
0.377,565,561
0.378,565,561
0.379,565,561
0.38,565,561
0.381,565,561
0.382,565,561
0.383,565,561
0.384,565,561
0.385,565,561
0.386,565,561
0.387,565,561
0.388,565,561
0.389,565,561
0.39,565,561
0.391,565,561
0.392,565,561
0.393,565,561
0.394,565,561
0.395,565,561
0.396,565,561
0.397,565,561
0.398,565,561
0.399,565,561
0.4,565,561
0.401,565,561
0.402,565,561
0.403,565,561
0.404,565,561
0.405,565,561
0.406,565,561
0.407,565,561
0.408,565,561
0.409,565,561
0.41,565,561
0.411,565,561
0.412,565,561
0.413,565,561
0.414,565,561
0.415,565,561
0.416,565,561
0.417,565,561
0.418,565,561
0.419,565,561
0.42,565,561
0.421,565,561
0.422,565,561
0.423,565,561
0.424,565,561
0.425,565,561
0.426,565,561
0.427,565,561
0.428,565,561
0.429,565,561
0.43,565,561
0.431,565,561
0.432,565,561
0.433,565,561
0.434,565,561
0.435,565,561
0.436,565,561
0.437,565,561
0.438,565,561
0.439,565,561
0.44,565,561
0.441,565,561
0.442,565,561
0.443,565,561
0.444,565,561
0.445,565,561
0.446,565,561
0.447,565,561
0.448,565,561
0.449,565,561
0.45,565,561
0.451,565,561
0.452,565,561
0.453,565,561
0.454,565,561
0.455,565,561
0.456,565,561
0.457,565,561
0.458,565,561
0.459,565,561
0.46,565,561
0.461,565,561
0.462,565,561
0.463,565,561
0.464,565,561
0.465,565,561
0.466,565,561
0.467,565,561
0.468,565,561
0.469,565,561
0.47,565,561
0.471,565,561
0.472,565,561
0.473,565,561
0.474,565,561
0.475,565,561
0.476,565,561
0.477,565,561
0.478,565,561
0.479,565,561
0.48,565,561
0.481,565,561
0.482,565,561
0.483,565,561
0.484,565,561
0.485,565,561
0.486,565,561
0.487,565,561
0.488,565,561
0.489,565,561
0.49,565,561
0.491,565,561
0.492,565,561
0.493,565,561
0.494,565,561
0.495,565,561
0.496,565,561
0.497,565,561
0.498,565,561
0.499,565,561
