time,distance0,distance1
0.001,370,1000
0.002,370,1000
0.003,370,1000
0.004,370,1000
0.005,370,1000
0.006,370,1000
0.007,370,1000
0.008,370,1000
0.009,370,1000
0.01,370,1000
0.011,370,1000
0.012,370,1000
0.013,370,1000
0.014,370,1000
0.015,370,1000
0.016,370,1000
0.017,370,1000
0.018,370,1000
0.019,370,1000
0.02,370,1000
0.021,370,1000
0.022,370,1000
0.023,370,1000
0.024,370,1000
0.025,370,1000
0.026,370,1000
0.027,370,1000
0.028,370,1000
0.029,370,1000
0.03,370,1000
0.031,370,1000
0.032,370,1000
0.033,370,1000
0.034,370,1000
0.035,370,1000
0.036,370,1000
0.037,370,1000
0.038,370,1000
0.039,370,1000
0.04,370,1000
0.041,370,1000
0.042,370,1000
0.043,370,1000
0.044,370,1000
0.045,370,1000
0.046,370,1000
0.047,370,1000
0.048,370,1000
0.049,370,1000
0.05,370,1000
0.051,370,1000
0.052,370,1000
0.053,370,1000
0.054,370,1000
0.055,370,1000
0.056,370,1000
0.057,370,1000
0.058,370,1000
0.059,370,1000
0.06,370,1000
0.061,370,1000
0.062,370,1000
0.063,370,1000
0.064,370,1000
0.065,370,1000
0.066,370,1000
0.067,370,1000
0.068,370,1000
0.069,370,1000
0.07,370,1000
0.071,370,1000
0.072,370,1000
0.073,370,1000
0.074,370,1000
0.075,370,1000
0.076,370,1000
0.077,370,1000
0.078,370,1000
0.079,370,1000
0.08,370,1000
0.081,370,1000
0.082,370,1000
0.083,370,1000
0.084,370,1000
0.085,370,1000
0.086,370,1000
0.087,370,1000
0.088,370,1000
0.089,370,1000
0.09,370,1000
0.091,370,1000
0.092,370,1000
0.093,370,1000
0.094,370,1000
0.095,370,1000
0.096,370,1000
0.097,370,1000
0.098,370,1000
0.099,370,1000
0.1,370,1000
0.101,370,1000
0.102,370,1000
0.103,370,1000
0.104,370,1000
0.105,370,1000
0.106,370,1000
0.107,370,1000
0.108,370,1000
0.109,370,1000
0.11,370,1000
0.111,370,1000
0.112,370,1000
0.113,370,1000
0.114,370,1000
0.115,370,1000
0.116,370,1000
0.117,370,1000
0.118,370,1000
0.119,370,1000
0.12,370,1000
0.121,370,1000
0.122,370,1000
0.123,370,1000
0.124,370,1000
0.125,370,1000
0.126,370,1000
0.127,370,1000
0.128,370,1000
0.129,370,1000
0.13,370,1000
0.131,370,1000
0.132,370,1000
0.133,370,1000
0.134,370,1000
0.135,370,1000
0.136,370,1000
0.137,370,1000
0.138,370,1000
0.139,370,1000
0.14,370,1000
0.141,370,1000
0.142,370,1000
0.143,370,1000
0.144,370,1000
0.145,370,1000
0.146,370,1000
0.147,370,1000
0.148,370,1000
0.149,370,1000
0.15,370,1000
0.151,370,1000
0.152,370,1000
0.153,370,1000
0.154,370,1000
0.155,370,1000
0.156,370,1000
0.157,370,1000
0.158,370,1000
0.159,370,1000
0.16,370,1000
0.161,370,1000
0.162,370,1000
0.163,370,1000
0.164,370,1000
0.165,370,1000
0.166,370,1000
0.167,370,1000
0.168,370,1000
0.169,370,1000
0.17,370,1000
0.171,370,1000
0.172,370,1000
0.173,370,1000
0.174,370,1000
0.175,370,1000
0.176,370,1000
0.177,370,1000
0.178,370,1000
0.179,370,1000
0.18,370,1000
0.181,370,1000
0.182,370,1000
0.183,370,1000
0.184,370,1000
0.185,370,1000
0.186,370,1000
0.187,370,1000
0.188,370,1000
0.189,370,1000
0.19,370,1000
0.191,370,1000
0.192,370,1000
0.193,370,1000
0.194,370,1000
0.195,370,1000
0.196,370,1000
0.197,370,1000
0.198,370,1000
0.199,370,1000
0.2,370,1000
0.201,370,1000
0.202,370,1000
0.203,370,1000
0.204,370,1000
0.205,370,1000
0.206,370,1000
0.207,370,1000
0.208,370,1000
0.209,370,1000
0.21,370,1000
0.211,370,1000
0.212,370,1000
0.213,370,1000
0.214,370,1000
0.215,370,1000
0.216,370,1000
0.217,370,1000
0.218,370,1000
0.219,370,1000
0.22,370,1000
0.221,370,1000
0.222,370,1000
0.223,370,1000
0.224,370,1000
0.225,370,1000
0.226,370,1000
0.227,370,1000
0.228,370,1000
0.229,370,1000
0.23,370,1000
0.231,370,1000
0.232,370,1000
0.233,370,1000
0.234,370,1000
0.235,370,1000
0.236,370,1000
0.237,370,1000
0.238,370,1000
0.239,370,1000
0.24,370,1000
0.241,370,1000
0.242,370,1000
0.243,370,1000
0.244,370,1000
0.245,370,1000
0.246,370,1000
0.247,370,1000
0.248,370,1000
0.249,370,1000
0.25,370,1000
0.251,370,1000
0.252,370,1000
0.253,370,1000
0.254,370,1000
0.255,370,1000
0.256,370,1000
0.257,370,1000
0.258,370,1000
0.259,370,1000
0.26,370,1000
0.261,370,1000
0.262,370,1000
0.263,370,1000
0.264,370,1000
0.265,370,1000
0.266,370,1000
0.267,370,1000
0.268,370,1000
0.269,370,1000
0.27,370,1000
0.271,370,1000
0.272,370,1000
0.273,370,1000
0.274,370,1000
0.275,370,1000
0.276,370,1000
0.277,370,1000
0.278,370,1000
0.279,370,1000
0.28,370,1000
0.281,370,1000
0.282,370,1000
