time,distance0,distance1
0.001,1938,516
0.002,1876,516
0.003,1814,515
0.004,1752,515
0.005,1690,514
0.006,1628,514
0.007,1567,513
0.008,1505,513
0.009,1443,512
0.01,1381,512
0.011,1319,511
0.012,1257,511
0.013,1195,510
0.014,1134,510
0.015,1072,509
0.016,1010,509
0.017,948,508
0.018,886,508
0.019,824,507
0.02,763,507
0.021,701,507
0.022,639,506
0.023,577,506
0.024,515,505
0.025,453,505
0.026,391,504
0.027,330,504
0.028,268,503
0.029,206,503
0.03,144,502
0.031,82,502
0.032,46,502
0.033,46,502
0.034,46,502
0.035,46,503
0.036,46,503
0.037,46,503
0.038,46,503
0.039,46,504
0.04,46,504
0.041,46,504
0.042,46,505
0.043,46,505
0.044,46,505
0.045,46,506
0.046,46,506
0.047,46,506
0.048,46,506
0.049,46,507
0.05,46,507
0.051,46,507
0.052,46,508
0.053,46,508
0.054,46,508
0.055,46,509
0.056,46,509
0.057,46,509
0.058,46,509
0.059,46,510
0.06,46,510
0.061,46,510
0.062,46,511
0.063,46,511
0.064,46,511
0.065,46,512
0.066,46,512
0.067,46,512
0.068,46,512
0.069,46,513
0.07,46,513
0.071,46,513
0.072,46,514
0.073,46,514
0.074,46,514
0.075,46,515
0.076,46,515
0.077,46,515
0.078,46,515
0.079,46,516
0.08,46,516
0.081,46,516
0.082,46,517
0.083,46,517
0.084,46,517
0.085,46,518
0.086,46,518
0.087,46,518
0.088,46,518
0.089,46,519
0.09,46,519
0.091,46,519
0.092,46,520
0.093,46,520
0.094,46,520
0.095,46,521
0.096,46,521
0.097,46,521
0.098,46,521
0.099,46,522
0.1,46,522
0.101,46,522
0.102,46,523
0.103,46,523
0.104,46,523
0.105,46,524
0.106,46,524
0.107,46,524
0.108,46,524
0.109,46,525
0.11,46,525
0.111,46,525
0.112,45,550
0.113,45,612
0.114,45,673
0.115,45,735
0.116,45,796
0.117,45,858
0.118,44,919
0.119,44,980
0.12,44,1042
0.121,44,1103
0.122,44,1165
0.123,44,1226
0.124,43,1287
0.125,43,1349
0.126,43,1410
0.127,43,1472
0.128,43,1533
0.129,43,1595
0.13,42,1656
0.131,42,1717
0.132,42,1779
0.133,42,1840
0.134,42,1902
0.135,42,1963
0.136,42,1990
0.137,42,1966
0.138,42,1942
0.139,42,1918
0.14,42,1894
0.141,42,1870
0.142,42,1846
0.143,42,1822
0.144,42,1798
0.145,42,1774
0.146,42,1750
0.147,42,1726
0.148,42,1702
0.149,42,1678
0.15,42,1654
0.151,42,1629
0.152,43,1605
0.153,43,1581
0.154,43,1557
0.155,43,1533
0.156,43,1509
0.157,43,1485
0.158,43,1461
0.159,43,1437
0.16,43,1413
0.161,43,1389
0.162,43,1365
0.163,43,1341
0.164,43,1317
0.165,43,1293
0.166,43,1269
0.167,43,1245
0.168,44,1221
0.169,44,1197
0.17,44,1173
0.171,44,1149
0.172,44,1125
0.173,44,1101
0.174,44,1077
0.175,44,1053
0.176,44,1029
0.177,44,1005
0.178,44,981
0.179,44,957
0.18,44,933
0.181,44,909
0.182,44,885
0.183,44,861
0.184,45,837
0.185,45,813
0.186,45,789
0.187,45,765
0.188,45,741
0.189,45,717
0.19,45,693
0.191,45,669
0.192,45,645
0.193,45,621
0.194,45,597
0.195,45,573
0.196,45,549
0.197,45,525
0.198,45,501
0.199,45,477
0.2,45,463
0.201,45,463
0.202,45,464
0.203,45,464
0.204,45,465
0.205,45,465
0.206,45,465
0.207,44,466
0.208,44,466
0.209,44,467
0.21,44,467
0.211,44,468
0.212,44,468
0.213,44,469
0.214,43,469
0.215,43,470
0.216,43,470
0.217,43,470
0.218,43,471
0.219,43,471
0.22,43,472
0.221,42,472
0.222,42,473
0.223,42,473
0.224,42,474
0.225,42,474
0.226,42,475
0.227,42,475
0.228,41,476
0.229,41,476
0.23,41,476
0.231,41,477
0.232,41,477
0.233,41,478
0.234,40,478
0.235,40,479
0.236,40,479
0.237,40,480
0.238,40,480
0.239,40,481
0.24,40,481
0.241,39,481
0.242,39,482
0.243,39,482
0.244,39,483
0.245,39,483
0.246,39,484
0.247,39,484
0.248,39,484
0.249,39,483
0.25,39,483
0.251,39,482
0.252,39,481
0.253,40,480
0.254,40,479
0.255,40,479
0.256,40,478
0.257,41,477
0.258,41,476
0.259,41,475
0.26,41,475
0.261,42,474
0.262,42,473
0.263,42,472
0.264,42,471
0.265,42,471
0.266,43,470
0.267,43,469
0.268,43,468
0.269,43,467
0.27,44,467
0.271,44,466
0.272,44,465
0.273,44,464
0.274,44,463
0.275,45,463
0.276,45,462
0.277,45,461
0.278,45,460
0.279,46,459
0.28,46,459
0.281,46,458
0.282,46,457
0.283,46,456
0.284,47,455
0.285,47,455
0.286,47,454
0.287,47,453
0.288,48,453
0.289,48,454
0.29,48,455
0.291,48,456
0.292,48,457
0.293,48,458
0.294,48,459
0.295,48,460
0.296,48,461
0.297,48,462
0.298,48,463
0.299,48,464
0.3,48,465
0.301,48,465
0.302,48,466
0.303,48,467
0.304,48,468
0.305,48,469
0.306,48,470
0.307,48,471
0.308,48,472
0.309,49,473
0.31,49,474
0.311,49,475
0.312,49,476
0.313,49,477
0.314,49,478
0.315,49,479
0.316,49,480
0.317,49,481
0.318,49,482
0.319,49,483
0.32,49,484
0.321,49,485
0.322,49,486
0.323,49,487
0.324,49,488
0.325,49,489
0.326,49,490
0.327,49,491
0.328,49,492
0.329,49,493
0.33,49,494
0.331,50,495
0.332,50,496
0.333,50,496
0.334,50,497
0.335,50,498
0.336,50,499
0.337,50,500
0.338,50,501
0.339,50,502
0.34,50,503
0.341,50,504
0.342,50,505
0.343,50,506
0.344,50,507
0.345,50,508
0.346,50,509
0.347,50,510
0.348,50,511
0.349,50,512
0.35,50,513
0.351,50,514
0.352,50,515
0.353,50,515
0.354,50,516
0.355,50,517
0.356,50,518
0.357,50,518
0.358,50,519
0.359,50,520
0.36,49,520
0.361,49,521
